reference_number,authors,title,journal,volume,pages_or_article,year,doi,url,verified,claim_supported
1,"Wen, P. Y. et al.",RANO 2.0: Update to the Response Assessment in Neuro-Oncology criteria for high- and low-grade gliomas in adults.,J. Clin. Oncol.,41,5187–5199,2023,10.1200/JCO.23.01059,https://ascopubs.org/doi/10.1200/JCO.23.01059,YES,Longitudinal response assessment is difficult and standardized baselines matter.
2,"Mahmoud, E. et al.",MU-Glioma Post: A comprehensive dataset of automated MR multi-sequence segmentation and clinical features.,Sci. Data,12,1847,2025,10.1038/s41597-025-06011-7,https://www.nature.com/articles/s41597-025-06011-7,YES,"MU-Glioma-Post source, processing, labels, access and original ethics."
3,"Cepeda, S. et al.","The Río Hortega University Hospital Glioblastoma dataset: A comprehensive collection of preoperative, early postoperative and recurrence MRI scans (RHUH-GBM).",Data Brief,50,109617,2023,10.1016/j.dib.2023.109617,https://pmc.ncbi.nlm.nih.gov/articles/PMC10551826/,YES,"RHUH source, 40 patients, three timepoints, segmentations and TCIA identifier."
4,"Ronneberger, O., Fischer, P. & Brox, T.",U-Net: Convolutional networks for biomedical image segmentation.,Lect. Notes Comput. Sci.,9351,234–241,2015,10.1007/978-3-319-24574-4_28,https://doi.org/10.1007/978-3-319-24574-4_28,YES,Encoder–decoder segmentation architecture background.
5,"Yu, A. C., Mohajer, B. & Eng, J.",External validation of deep learning algorithms for radiologic diagnosis: A systematic review.,Radiol. Artif. Intell.,4,e210064,2022,10.1148/ryai.210064,https://pubmed.ncbi.nlm.nih.gov/35652114/,YES,External performance often decreases under domain shift.
6,"Guan, H. & Liu, M.",Domain adaptation for medical image analysis: A survey.,IEEE Trans. Biomed. Eng.,69,1173–1185,2022,10.1109/TBME.2021.3117407,https://pubmed.ncbi.nlm.nih.gov/34606445/,YES,Medical image domain shift arises from distribution differences.
7,"Tejani, A. S. et al.",Checklist for Artificial Intelligence in Medical Imaging (CLAIM): 2024 update.,Radiol. Artif. Intell.,6,e240300,2024,10.1148/ryai.240300,https://pubs.rsna.org/doi/10.1148/ryai.240300,YES,Reporting transparency and external testing terminology.
8,"Collins, G. S. et al.",TRIPOD+AI statement: Updated guidance for reporting clinical prediction models that use regression or machine learning methods.,BMJ,385,e078378,2024,10.1136/bmj-2023-078378,https://www.bmj.com/content/385/bmj-2023-078378,YES,Prediction-model reporting framework; partially applicable to future-blind P0.
9,"Moons, K. G. M. et al.","PROBAST+AI: An updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods.",BMJ,388,e082505,2025,10.1136/bmj-2024-082505,https://www.bmj.com/content/388/bmj-2024-082505,YES,Risk-of-bias self-audit framework.
10,"Müller, D., Soto-Rey, I. & Kramer, F.",Towards a guideline for evaluation metrics in medical image segmentation.,BMC Res. Notes,15,210,2022,10.1186/s13104-022-06096-y,https://pubmed.ncbi.nlm.nih.gov/35725483/,YES,Metric definitions and interpretation require care.
11,"Brier, G. W.",Verification of forecasts expressed in terms of probability.,Mon. Weather Rev.,78,1–3,1950,10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,https://journals.ametsoc.org/view/journals/mwre/78/1/1520-0493_1950_078_0001_vofeit_2_0_co_2.xml,YES,Brier score origin.
12,"Holm, S.",A simple sequentially rejective multiple test procedure.,Scand. J. Stat.,6,65–70,1979,10.2307/4615733,https://www.jstor.org/stable/4615733,YES,Holm multiplicity control.
13,"Efron, B.",Bootstrap methods: Another look at the jackknife.,Ann. Stat.,7,1–26,1979,10.1214/aos/1176344552,https://doi.org/10.1214/aos/1176344552,YES,Bootstrap resampling.
14,"Johnson, D. R. et al.",Congress of Neurological Surgeons systematic review and evidence-based guidelines update on the role of imaging in the management of progressive glioblastoma in adults.,J. Neurooncol.,158,225–247,2022,10.1007/s11060-021-03896-9,https://pubmed.ncbi.nlm.nih.gov/34694565/,YES,MRI surveillance and progression/treatment-effect challenges.
15,"Taha, A. A. & Hanbury, A.","Metrics for evaluating 3D medical image segmentation: Analysis, selection, and tool.",BMC Med. Imaging,15,29,2015,10.1186/s12880-015-0068-x,https://pubmed.ncbi.nlm.nih.gov/26263899/,YES,3D segmentation metric selection.
