reference_number,reference,DOI,PMID,verification_source,peer_reviewed,status
1,"Wen, P. Y. et al. RANO 2.0: Update to the Response Assessment in Neuro-Oncology criteria for high- and low-grade gliomas in adults. J. Clin. Oncol. 41, 5187–5199 (2023). https://doi.org/10.1200/JCO.23.01059",10.1200/JCO.23.01059,,https://ascopubs.org/doi/10.1200/JCO.23.01059,YES,VERIFIED
2,"Mahmoud, E. et al. MU-Glioma Post: A comprehensive dataset of automated MR multi-sequence segmentation and clinical features. Sci. Data 12, 1847 (2025). https://doi.org/10.1038/s41597-025-06011-7",10.1038/s41597-025-06011-7,41266380,https://www.nature.com/articles/s41597-025-06011-7,YES,VERIFIED
3,"Cepeda, S. et al. The Río Hortega University Hospital Glioblastoma dataset: A comprehensive collection of preoperative, early postoperative and recurrence MRI scans (RHUH-GBM). Data Brief 50, 109617 (2023). https://doi.org/10.1016/j.dib.2023.109617",10.1016/j.dib.2023.109617,37808543,https://pmc.ncbi.nlm.nih.gov/articles/PMC10551826/,YES,VERIFIED
4,"Ronneberger, O., Fischer, P. & Brox, T. U-Net: Convolutional networks for biomedical image segmentation. Lect. Notes Comput. Sci. 9351, 234–241 (2015). https://doi.org/10.1007/978-3-319-24574-4_28",10.1007/978-3-319-24574-4_28,,https://doi.org/10.1007/978-3-319-24574-4_28,YES,VERIFIED
5,"Yu, A. C., Mohajer, B. & Eng, J. External validation of deep learning algorithms for radiologic diagnosis: A systematic review. Radiol. Artif. Intell. 4, e210064 (2022). https://doi.org/10.1148/ryai.210064",10.1148/ryai.210064,35652114,https://pubmed.ncbi.nlm.nih.gov/35652114/,YES,VERIFIED
6,"Guan, H. & Liu, M. Domain adaptation for medical image analysis: A survey. IEEE Trans. Biomed. Eng. 69, 1173–1185 (2022). https://doi.org/10.1109/TBME.2021.3117407",10.1109/TBME.2021.3117407,34606445,https://pubmed.ncbi.nlm.nih.gov/34606445/,YES,VERIFIED
7,"Tejani, A. S. et al. Checklist for Artificial Intelligence in Medical Imaging (CLAIM): 2024 update. Radiol. Artif. Intell. 6, e240300 (2024). https://doi.org/10.1148/ryai.240300",10.1148/ryai.240300,38809149,https://pubs.rsna.org/doi/10.1148/ryai.240300,YES,VERIFIED
8,"Collins, G. S. et al. TRIPOD+AI statement: Updated guidance for reporting clinical prediction models that use regression or machine learning methods. BMJ 385, e078378 (2024). https://doi.org/10.1136/bmj-2023-078378",10.1136/bmj-2023-078378,38626948,https://www.bmj.com/content/385/bmj-2023-078378,YES,VERIFIED
9,"Moons, K. G. M. et al. PROBAST+AI: An updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods. BMJ 388, e082505 (2025). https://doi.org/10.1136/bmj-2024-082505",10.1136/bmj-2024-082505,39904589,https://www.bmj.com/content/388/bmj-2024-082505,YES,VERIFIED
10,"Müller, D., Soto-Rey, I. & Kramer, F. Towards a guideline for evaluation metrics in medical image segmentation. BMC Res. Notes 15, 210 (2022). https://doi.org/10.1186/s13104-022-06096-y",10.1186/s13104-022-06096-y,35725483,https://pubmed.ncbi.nlm.nih.gov/35725483/,YES,VERIFIED
11,"Brier, G. W. Verification of forecasts expressed in terms of probability. Mon. Weather Rev. 78, 1–3 (1950). https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2",10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,,https://journals.ametsoc.org/view/journals/mwre/78/1/1520-0493_1950_078_0001_vofeit_2_0_co_2.xml,YES,VERIFIED
12,"Holm, S. A simple sequentially rejective multiple test procedure. Scand. J. Stat. 6, 65–70 (1979). https://doi.org/10.2307/4615733",10.2307/4615733,,https://www.jstor.org/stable/4615733,YES,VERIFIED
13,"Efron, B. Bootstrap methods: Another look at the jackknife. Ann. Stat. 7, 1–26 (1979). https://doi.org/10.1214/aos/1176344552",10.1214/aos/1176344552,,https://doi.org/10.1214/aos/1176344552,YES,VERIFIED
14,"Johnson, D. R. et al. Congress of Neurological Surgeons systematic review and evidence-based guidelines update on the role of imaging in the management of progressive glioblastoma in adults. J. Neurooncol. 158, 225–247 (2022). https://doi.org/10.1007/s11060-021-03896-9",10.1007/s11060-021-03896-9,34694565,https://pubmed.ncbi.nlm.nih.gov/34694565/,YES,VERIFIED
15,"Taha, A. A. & Hanbury, A. Metrics for evaluating 3D medical image segmentation: Analysis, selection, and tool. BMC Med. Imaging 15, 29 (2015). https://doi.org/10.1186/s12880-015-0068-x",10.1186/s12880-015-0068-x,26263899,https://pubmed.ncbi.nlm.nih.gov/26263899/,YES,VERIFIED
16,"Cepeda, S. et al. Predicting regions of local recurrence in glioblastomas using voxel-based radiomic features of multiparametric postoperative MRI. Cancers (Basel) 15, 1894 (2023). https://doi.org/10.3390/cancers15061894",10.3390/cancers15061894,36980783,https://pubmed.ncbi.nlm.nih.gov/36980783/; https://www.mdpi.com/2072-6694/15/6/1894,YES,VERIFIED
