cohort,claim,authority_exact,V2_1_display,authority,status
Internal,Fixed mean Dice@0.5,0.2392659286346989,0.239,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/03_COMBINED_RESULTS/ALL_CASE_METHOD_METRICS.csv,PASS
Internal,Full PCC mean Dice@0.5,0.44397692155780993,0.444,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/03_COMBINED_RESULTS/ALL_CASE_METHOD_METRICS.csv,PASS
Internal,No-smoothing PCC mean Dice@0.5,0.6367851405000626,0.637,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/03_COMBINED_RESULTS/ALL_CASE_METHOD_METRICS.csv,PASS
RHUH,Fixed mean Dice@0.5,0.18950017890741766,0.190,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/02_CASE_RESULTS/RHUH_STAGE_B_CASE_METHOD_METRICS.csv,PASS
RHUH,Full PCC mean Dice@0.5,0.36542690071149336,0.365,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/02_CASE_RESULTS/RHUH_STAGE_B_CASE_METHOD_METRICS.csv,PASS
RHUH,No-smoothing PCC mean Dice@0.5,0.45122727714465866,0.451,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/02_CASE_RESULTS/RHUH_STAGE_B_CASE_METHOD_METRICS.csv,PASS
Internal,Full PCC vs Fixed n,113,rounded in text / exact in Table 2 source,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/04_STATISTICS/CONFIRMATORY_STATISTICS.csv,PASS
Internal,Full PCC vs Fixed mean_difference,0.20471099292311104,rounded in text / exact in Table 2 source,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/04_STATISTICS/CONFIRMATORY_STATISTICS.csv,PASS
Internal,Full PCC vs Fixed median_difference,0.21172012491758974,rounded in text / exact in Table 2 source,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/04_STATISTICS/CONFIRMATORY_STATISTICS.csv,PASS
Internal,Full PCC vs Fixed wins,113,rounded in text / exact in Table 2 source,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/04_STATISTICS/CONFIRMATORY_STATISTICS.csv,PASS
Internal,Full PCC vs Fixed ties,0,rounded in text / exact in Table 2 source,outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/04_STATISTICS/CONFIRMATORY_STATISTICS.csv,PASS
