table_row,characteristic,column,displayed_value,authority,deterministic_aggregation,status
1,Source patients / pre-outcome excluded / analysed,Development 40,40 / 0 / 40,locked cohort manifests and amendment authorities,YES,PASS
1,Source patients / pre-outcome excluded / analysed,Independent internal 113,115 / 2 / 113,locked cohort manifests and amendment authorities,YES,PASS
1,Source patients / pre-outcome excluded / analysed,RHUH external 39,40 / 1 / 39,locked cohort manifests and amendment authorities,YES,PASS
2,"Age, years, median (IQR)",Development 40,57.5 (53.0–65.0); n=40,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
2,"Age, years, median (IQR)",Independent internal 113,60.0 (43.0–69.0); n=113,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
2,"Age, years, median (IQR)",RHUH external 39,64.0 (55.0–69.5); n=39,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
3,"Sex, female / male",Development 40,17 / 23,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
3,"Sex, female / male",Independent internal 113,47 / 66,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
3,"Sex, female / male",RHUH external 39,12 / 27,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
4,"Current-to-future interval, days, median (IQR)",Development 40,78.0 (64.0–108.0); n=39,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
4,"Current-to-future interval, days, median (IQR)",Independent internal 113,68.0 (39.5–103.0); n=111,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
5,Diagnosis / grade,Development 40,GBM / grade 4: 40,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
5,Diagnosis / grade,Independent internal 113,GBM 74; astrocytoma 23; diffuse glioma 9; oligodendroglioma 4; pilocytic astrocytoma 2; glioma with GBM features 1,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
5,Diagnosis / grade,RHUH external 39,Glioblastoma / grade 4: 39,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
6,IDH status,RHUH external 39,wt 35; mut 4,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
7,Extent of resection,RHUH external 39,GTR 26; NTR 13,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
8,Previous treatment,RHUH external 39,no 37; surgery + QT/RT 2,manuscript_finalization/FINAL_TECHNICAL_REVISION_V2_1/REPRODUCIBILITY_ARCHIVE/LOCKED_COHORT_CLINICAL_METADATA_LINKAGE_V2_1.csv,YES,PASS
