relative_path,size,sha256,role,status
outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/03_COMBINED_RESULTS/ALL_CASE_METHOD_METRICS.csv,396598,f8b46f26fbca2804b61edd6bdd62ed758630795673350f0eec638516aa8449cf,frozen scientific authority,READ_ONLY_USED
outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/03_COMBINED_RESULTS/ALL_PCC_ROUND_TRAJECTORY.csv,178072,63f5e431584bbe7f809b6c9954ecd06feb8979e92134487e3cd282ab2cfc4df4,frozen scientific authority,READ_ONLY_USED
outputs/pcc_113_stage_b_final_audit_patch_v2_2026/V1_SNAPSHOT/04_STATISTICS/CONFIRMATORY_STATISTICS.csv,656,91d8bef63f32f6250218d9bd34b22f23f6b5ddcdfb8c63c7121f729b6a268539,frozen scientific authority,READ_ONLY_USED
outputs/pcc_113_stage_b_final_audit_patch_v2_2026/01_SECONDARY_SUMMARY_PATCH/STAGE_B_SECONDARY_DESCRIPTIVE_SUMMARY_V2.csv,12571,f0432bc72cb628f67785fda83701b6fcc5f7889f255009fc8e7b5e4b79da63fa,frozen scientific authority,READ_ONLY_USED
outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/02_CASE_RESULTS/RHUH_STAGE_B_CASE_METHOD_METRICS.csv,151646,54b4ce95ec26e4336ba753911cf4f37bceb31e1a925b994e83b8ac457494ad9d,frozen scientific authority,READ_ONLY_USED
outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/03_TRAJECTORIES/RHUH_STAGE_B_FULL_PCC_ROUND_TRAJECTORY.csv,67038,4ea1beee22237a0b60b9394c6b81bf7a996b4b695d4bee383ea47e476c5fb8c6,frozen scientific authority,READ_ONLY_USED
outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,803,b54a995111063e2f1871e1b607d142649a8494f979c76d95285b5b295f8d6322,frozen scientific authority,READ_ONLY_USED
outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/07_SECONDARY_AND_TOPK/RHUH_STAGE_B_SECONDARY_SUMMARY.csv,13854,0fc8f49d6697bcf35656165d1ff470ba002aa27da5ed80c510ca167ec0215ac3,frozen scientific authority,READ_ONLY_USED
outputs/pcc_internal_validity_patch_2026/02_target_independent_evaluation/TARGET_INDEPENDENT_METHOD_SUMMARY.csv,35295,56e4b7e294f71564f22ce930cb1e7cf93e85b7487ccffb7f18a329841e21c81c,frozen scientific authority,READ_ONLY_USED
outputs/pcc_internal_completion_2026/12_publication_tables/INTERNAL_COMPLETION_METHOD_SUMMARY.csv,16197,a964ea88152ff9960fb6c42559cb2b3ea019c5f4d51c71fbd4a5a03d6498b1aa,frozen scientific authority,READ_ONLY_USED
outputs/pcc_internal_completion_2026/03_imperfect_guidance/IMPERFECT_GUIDANCE_CASE_AGGREGATED.csv,253172,7055ef62b3c5d62da8d1aaf58eef893fa1213bc4794be351ffde0fd9b59eacad,frozen scientific authority,READ_ONLY_USED
outputs/pcc_internal_validity_patch_2026/03_no_smoothing_robustness/NO_SMOOTHING_ROBUSTNESS_SUMMARY.csv,15680,f931db7717b2a4f76a8268286c79e6bae866add81c03e2c4fa9d4437c7d47d53,frozen scientific authority,READ_ONLY_USED
manuscript_finalization/INDEPENDENT_AUDIT_MAJOR_REVISION_V2/01_PCC_SCIENTIFIC_REPORTS_MANUSCRIPT_V2.docx (Git HEAD object),recorded in Git,e0b408d645a3fab256178f735ddea79fb1b871b215999ea97a858b4cf79aca99,V2 frozen manuscript baseline,GIT_OBJECT_READ_ONLY; WORKTREE_USER_DELETION_UNTOUCHED
