method,metric,n,mean,SD,median,Q1,Q3,IQR,bootstrap_95ci_low,bootstrap_95ci_high,bootstrap_resamples,bootstrap_seed
Fixed,IoU_0.5,113,0.14275676271633445,0.09133695791297426,0.1362596937760986,0.0802512829587683,0.1871854901644196,0.1069342072056513,0.12651103108703468,0.16008221968616135,10000,20260803
Fixed,soft_Dice,113,0.18515205004391988,0.11200243718867303,0.1836706572019499,0.1030116628668069,0.2431405016098808,0.1401288387430739,0.16498177393457839,0.2062280610094493,10000,20260803
Fixed,Brier,113,0.004523438996233918,0.004734199430969551,0.0033030287317839,0.0016272471458048,0.0051209919813546,0.0034937448355498004,0.0037188075733762386,0.005440357760197517,10000,20260803
Fixed,average_precision,113,0.22720634123309832,0.16241971610825343,0.1879753874478399,0.0985860560241737,0.3365579559499516,0.23797189992577789,0.19772194861587575,0.2580833335240748,10000,20260803
Full PCC,IoU_0.5,113,0.3026637349790633,0.1497703708873603,0.3067127425104078,0.2104066683505935,0.3918147956056391,0.1814081272550456,0.2752864707117545,0.33016035876785954,10000,20260803
Full PCC,soft_Dice,113,0.26671044302084707,0.14958672757899014,0.2634951748915842,0.1626158578635101,0.3671391018662227,0.20452324400271257,0.23960427941804643,0.29425261655770213,10000,20260803
Full PCC,Brier,113,0.0031018553812365104,0.004117262708921748,0.001720032669824,0.0008421584371434,0.0032308057301018,0.0023886472929584,0.002413682840374779,0.00392091604782403,10000,20260803
Full PCC,average_precision,113,0.41423683094124614,0.21167656087785178,0.4165520070514784,0.2551603624748501,0.5815393189258564,0.32637895645100634,0.3756837871707996,0.4536073911976625,10000,20260803
No-smoothing PCC,IoU_0.5,113,0.49576499308548405,0.2014320336851955,0.5164104694640631,0.3629558810869102,0.6289949050486336,0.26603902396172346,0.458882042538722,0.532953099563842,10000,20260803
No-smoothing PCC,soft_Dice,113,0.32036574405808416,0.16473475891142472,0.3258734814635898,0.2143762502949238,0.4415489769209107,0.22717272662598692,0.29049068785040427,0.35058833388603805,10000,20260803
No-smoothing PCC,Brier,113,0.0025827483372998622,0.004011020143365503,0.0012057733558566,0.0005939081473493,0.002498761252655,0.0019048531053057001,0.001913045595018462,0.0033877414396320553,10000,20260803
No-smoothing PCC,average_precision,113,0.6473279573040465,0.19877701117705623,0.6639420594536367,0.5325590073365468,0.8112320862225844,0.27867307888603754,0.6107317542528754,0.6825288889115569,10000,20260803
