method,metric,n,mean,SD,median,Q1,Q3,IQR,bootstrap_95ci_low,bootstrap_95ci_high,bootstrap_replicates,bootstrap_seed,secondary_pairwise_inference
Fixed,Dice_0.5,39,0.18950017890741766,0.13181373260495102,0.1810851082478745,0.08101134869194154,0.2697179531632183,0.18870660447127674,0.14895061636799545,0.23064898178709717,10000,20260810,NOT_PRELOCKED_NOT_RUN
Fixed,IoU_0.5,39,0.11054095941779987,0.08301115651137661,0.09955666923670008,0.042222157682522424,0.1558935171991167,0.11367135951659428,0.08506311538024823,0.13648685381671424,10000,20260810,NOT_PRELOCKED_NOT_RUN
Fixed,soft_Dice,39,0.1511701565526571,0.10643483811300757,0.14559822823352356,0.060349754091331254,0.22688237485507257,0.1665326207637413,0.11815825590103143,0.18381377226935386,10000,20260810,NOT_PRELOCKED_NOT_RUN
Fixed,Brier,39,0.00928385394496658,0.004699054631702887,0.00763471577763848,0.005454062546636181,0.012393273554356071,0.0069392110077198905,0.007853867516342344,0.010762726458749315,10000,20260810,NOT_PRELOCKED_NOT_RUN
Fixed,average_precision,39,0.1530624640609824,0.1213144906077636,0.14168728737955094,0.04085305084152732,0.23865676937197935,0.19780371853045203,0.11615144634123438,0.1910199847596164,10000,20260810,NOT_PRELOCKED_NOT_RUN
Full PCC,Dice_0.5,39,0.36542690071149336,0.1877101209161402,0.39133898182344845,0.22914512402212117,0.5174705877862634,0.28832546376414225,0.30641114953412724,0.42139239015738184,10000,20260810,NOT_PRELOCKED_NOT_RUN
Full PCC,IoU_0.5,39,0.23890190219900248,0.13790871235348484,0.24327000990366435,0.12946013210166016,0.3490646684277705,0.21960453632611035,0.19586371363715865,0.280464200337404,10000,20260810,NOT_PRELOCKED_NOT_RUN
Full PCC,soft_Dice,39,0.23822373120425466,0.14449822461110426,0.2284472165006823,0.13395987203032744,0.3584749960855774,0.22451512405524998,0.19351501347826133,0.2817220311880662,10000,20260810,NOT_PRELOCKED_NOT_RUN
Full PCC,Brier,39,0.006457286815194531,0.004132056289510524,0.005061848430315754,0.003082865835744779,0.008278781496735547,0.005195915660990768,0.005229951591828816,0.0077751237935871735,10000,20260810,NOT_PRELOCKED_NOT_RUN
Full PCC,average_precision,39,0.309313693664386,0.1903034387517972,0.3213075313687235,0.15034673313328795,0.489838043981093,0.33949131084780504,0.25021657937664316,0.3676327473641208,10000,20260810,NOT_PRELOCKED_NOT_RUN
No-smoothing PCC,Dice_0.5,39,0.45122727714465866,0.2103476967944721,0.4657538819314243,0.35019353155385713,0.6201061384084978,0.2699126068546407,0.38532966869418456,0.5142037632187004,10000,20260810,NOT_PRELOCKED_NOT_RUN
No-smoothing PCC,IoU_0.5,39,0.31359068073945195,0.16979067258624664,0.3035718170939551,0.21254294979186955,0.44938745365788635,0.2368445038660168,0.2613944366050698,0.36525906695264837,10000,20260810,NOT_PRELOCKED_NOT_RUN
No-smoothing PCC,soft_Dice,39,0.269638303937967,0.15574532496540452,0.27767959662906516,0.16528694729409016,0.4002673614695276,0.23498041417543747,0.22149456684742033,0.31654168401660904,10000,20260810,NOT_PRELOCKED_NOT_RUN
No-smoothing PCC,Brier,39,0.005764661580451331,0.003959465270784498,0.004685966874772084,0.002674748156273099,0.007503158803144958,0.004828410646871859,0.004596948654856689,0.00704479139581632,10000,20260810,NOT_PRELOCKED_NOT_RUN
No-smoothing PCC,average_precision,39,0.40436480206898673,0.20907832050513858,0.4197155058804299,0.2724584123521825,0.5755222215433748,0.30306380919119236,0.33964211645401166,0.4687456176001924,10000,20260810,NOT_PRELOCKED_NOT_RUN
