evaluation,method,metric,N_total,N_finite,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high
crossfitted_threshold,FIXED,dice_fixed,40,40,0.21556589877238333,0.16057018126125533,0.17748534359324275,0.09120109104428663,0.2974687837566823,0.16985336051023686,0.2674448003235076
crossfitted_threshold,FIXED,soft_dice,40,40,0.22223404839292007,0.147081354913252,0.2052862059284397,0.09413591471964063,0.28970313001623493,0.17934569141838044,0.26881379052376175
crossfitted_threshold,FIXED,brier_score,40,40,0.006301912736929374,0.0028138783705253362,0.00580276136415055,0.004003951752135875,0.008300134343036199,0.005451139892318402,0.007166331826087403
crossfitted_threshold,FIXED,average_precision,40,40,0.2293721052409144,0.18719922765289493,0.1735853639516701,0.09479573938614945,0.35398556847904783,0.17588411988712874,0.28979215319490303
crossfitted_threshold,FULL_PCC,dice_fixed,40,40,0.32575423583519675,0.1871118096506793,0.2672570518157462,0.18834634832976513,0.43879100545898797,0.2706213325910587,0.3857240353811594
crossfitted_threshold,FULL_PCC,soft_dice,40,40,0.26986480442716926,0.16020259264743347,0.2583983758673641,0.1380498078249373,0.35398810419650434,0.22190333430321788,0.320206524882015
crossfitted_threshold,FULL_PCC,brier_score,40,40,0.004702401769835172,0.0022371192227205613,0.0044005255538703,0.00297187375242395,0.006230816184005775,0.004027149191587236,0.005403257533925778
crossfitted_threshold,FULL_PCC,average_precision,40,40,0.3730950537963239,0.20958885063734023,0.36369438870739224,0.19648824527225672,0.5115405353256944,0.31172187357695474,0.4392034975285071
crossfitted_threshold,NO_SMOOTHING,dice_fixed,40,40,0.3850225818756014,0.21473830504516306,0.35757261204125057,0.20516524279679194,0.5019559011481005,0.32098254232830964,0.4527167131310237
crossfitted_threshold,NO_SMOOTHING,soft_dice,40,40,0.30945156070623653,0.1716954111405503,0.30212541676869825,0.18224531960304988,0.3939770182368503,0.25849273769128017,0.3633043190954102
crossfitted_threshold,NO_SMOOTHING,brier_score,40,40,0.0038531325669077,0.0019602598924239765,0.0034951734711370502,0.0023487904712739,0.004817403451139325,0.0032805126188293126,0.004463492086587708
crossfitted_threshold,NO_SMOOTHING,average_precision,40,40,0.5231435278147645,0.20241743002203985,0.518723843461515,0.382499142537183,0.6517454172608723,0.4616220881476936,0.585647450760667
