condition,method,n,oracle_assisted_topk_Dice_mean
CLEAN,PCC,40,0.388421
CLEAN,EIA_LINEAR,40,0.349947
CLEAN,EIA_BLEND_075,40,0.532841
PARTIAL_50,PCC,40,0.349182
PARTIAL_50,EIA_LINEAR,40,0.339260
PARTIAL_50,EIA_BLEND_075,40,0.492284
PARTIAL_25,PCC,40,0.323722
PARTIAL_25,EIA_LINEAR,40,0.327635
PARTIAL_25,EIA_BLEND_075,40,0.459638
FP_25,PCC,40,0.384170
FP_25,EIA_LINEAR,40,0.343099
FP_25,EIA_BLEND_075,40,0.532171
SHIFT_3,PCC,40,0.368439
SHIFT_3,EIA_LINEAR,40,0.340536
SHIFT_3,EIA_BLEND_075,40,0.484517
MIXED,PCC,40,0.332755
MIXED,EIA_LINEAR,40,0.324969
MIXED,EIA_BLEND_075,40,0.454213
