condition,method,patients,mean_oracle_topk_Dice,mean_oracle_topk_IoU,mean_retained_true_target_fraction,mean_added_false_positive_volume,source_rows
CLEAN,EIA_BLEND_075,40,NA,NA,NA,NA,40
CLEAN,EIA_LINEAR,40,NA,NA,NA,NA,40
CLEAN,PCC,40,NA,NA,NA,NA,40
FP_25,EIA_BLEND_075,40,0.5321714773128392,0.39480086526404884,1.0,7577.675,40
FP_25,EIA_LINEAR,40,0.3430989625544886,0.23189511379842215,1.0,7577.675,40
FP_25,PCC,40,0.3841702119706099,0.25325126307552637,1.0,7577.675,40
MIXED,EIA_BLEND_075,40,0.4542130217982523,0.3151317003042521,0.500330999743947,7577.675,40
MIXED,EIA_LINEAR,40,0.32496917742915843,0.21325116032649505,0.500330999743947,7577.675,40
MIXED,PCC,40,0.33275475996139303,0.2127861042273987,0.500330999743947,7577.675,40
PARTIAL_25,EIA_BLEND_075,40,0.4596381955482844,0.3205491707452868,0.25054929347849475,0.0,40
PARTIAL_25,EIA_LINEAR,40,0.3276353886872416,0.2144020918658185,0.25054929347849475,0.0,40
PARTIAL_25,PCC,40,0.3237222553750192,0.20567800707248796,0.25054929347849475,0.0,40
PARTIAL_50,EIA_BLEND_075,40,0.49228363235520345,0.3535953336885878,0.500330999743947,0.0,40
PARTIAL_50,EIA_LINEAR,40,0.33926009082285846,0.22624260963337525,0.500330999743947,0.0,40
PARTIAL_50,PCC,40,0.3491819000755053,0.22561972938452804,0.500330999743947,0.0,40
SHIFT_3,EIA_BLEND_075,40,0.4845170299996234,0.34278763825957725,0.5656657252553003,10018.408333333333,40
SHIFT_3,EIA_LINEAR,40,0.3405356533505151,0.2261098916522589,0.5656657252553003,10018.408333333333,40
SHIFT_3,PCC,40,0.3684392010009529,0.2404572155616765,0.5656657252553003,10018.408333333333,40
