method,metric,N,mean,SD,median,min,max,oracle_assisted
Fixed,topk_Dice,113,0.2682975790454364,0.1576598808729009,0.264132066063693,4.752851708767657e-10,0.6623879488720312,True
Fixed,topk_IoU,113,0.1648225486075349,0.11027699644301947,0.1521613833260249,4.752851708767657e-10,0.49520183996559597,True
Naive,topk_Dice,113,0.26859460336380714,0.15740052081181546,0.264132066063693,4.752851708767657e-10,0.6623879488720312,True
Naive,topk_IoU,113,0.16499282436654195,0.11013030778718455,0.1521613833260249,4.752851708767657e-10,0.49520183996559597,True
EIA-linear,topk_Dice,113,0.37014903519881887,0.22838276263711124,0.33870193591438585,2.192982451331179e-09,0.8867765790143101,True
EIA-linear,topk_IoU,113,0.2535643304510223,0.19291693300631707,0.20387788516568078,2.192982451331179e-09,0.7965845510415248,True
EIA-blend-0.90,topk_Dice,113,0.33882568432917093,0.17712419398426416,0.31979825614122936,4.752851708767657e-10,0.7336232960306899,True
EIA-blend-0.90,topk_IoU,113,0.21806651577704347,0.13444592460110105,0.1903332485784618,4.752851708767657e-10,0.5793089005323705,True
EIA-blend-0.75,topk_Dice,113,0.44381081129308003,0.20506428740777713,0.41276520353871715,4.752851708767657e-10,0.8854046664151842,True
EIA-blend-0.75,topk_IoU,113,0.3083613599283157,0.1797356337911695,0.26005302081037945,4.752851708767657e-10,0.7943732041008947,True
EIA-morph,topk_Dice,113,0.1907168793862762,0.12326047239491646,0.17770464846201056,8.771929747614652e-09,0.5808470102985261,True
EIA-morph,topk_IoU,113,0.11085339805060769,0.08102314081911022,0.09751693022629414,8.771929747614652e-09,0.4092913269526161,True
Full PCC,topk_Dice,113,0.43982123915672683,0.19370894098913222,0.4573386735338027,5.555555246913597e-08,0.8280644990210039,True
Full PCC,topk_IoU,113,0.3012818760976281,0.15906054213458906,0.2964608405569634,5.555555246913597e-08,0.7065785602818218,True
No-smoothing PCC,topk_Dice,113,0.6308292240200701,0.19583652400407495,0.6539280014217598,0.05982698079710492,1.0,True
No-smoothing PCC,topk_IoU,113,0.48929591904861625,0.20463893963234114,0.4858046242080785,0.030835899791857503,1.0,True
