case_id,condition,dice_fixed05,iou_fixed05,dice_topk,iou_topk,target_focus,log10_ratio,pred_fixed05_voxels,pred_topk_voxels,target_voxels,prob_min,prob_max,prob_mean,prob_sum,dice,iou,main_mode,guidance_voxels,evaluation_target_voxels,target_mass,false_guidance_mass,outside_clean_target_mass,donor_case_id
PatientID_0003_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.34111677243244337,0.20563037034312812,0.40543615163926716,0.2542614722334379,0.20081837892152501,1.9585459057843317,71360,24613,24613,8.716917363926768e-06,0.999273955821991,0.008413809351623058,75118.4921875,0.40543615163926716,0.2542614722334379,topk,24684,24613,15085.173828125,691.7908935546875,60033.609375,PatientID_0006_T2_to_T4_t1c
PatientID_0005_T3_to_T4_t1c,SHUFFLED_TARGET_PCC,0.2624956566680794,0.15107625928211718,0.29546057872855164,0.17333748639858784,0.14193942785228586,1.8934561345615823,76138,18835,18835,8.069782779784873e-06,0.9996108412742615,0.009193699806928635,82081.3515625,0.29546057872855164,0.17333748639858784,topk,21116,18835,11650.580078125,1222.3326416015625,70430.7421875,PatientID_0020_T1_to_T2_t1c
PatientID_0006_T2_to_T4_t1c,SHUFFLED_TARGET_PCC,0.3642163092996252,0.22265554509230792,0.3926835197011691,0.2443100189226387,0.20751952215747546,1.975206247560255,97271,24684,24684,8.816708941594698e-06,0.9995625615119934,0.010808123275637627,96494.921875,0.3926835197011691,0.2443100189226387,topk,24613,24684,20024.580078125,222.2730712890625,76470.3203125,PatientID_0003_T1_to_T2_t1c
PatientID_0007_T2_to_T3_t1c,SHUFFLED_TARGET_PCC,0.2735321895310575,0.15843457253530796,0.32965551064547904,0.19735779822404712,0.13653818512715982,2.237836462128491,42667,8157,8157,9.960053830582183e-06,0.9997987151145935,0.005187001079320908,46309.546875,0.32965551064547904,0.19735779822404712,topk,8110,8157,6323.021484375,265.7253723144531,39986.5546875,PatientID_0041_T1_to_T2_t1c
PatientID_0008_T4_to_T6_t1c,SHUFFLED_TARGET_PCC,0.17832663008110083,0.09789165998520483,0.13402537495570643,0.07182593657166202,0.10623399987688098,2.3885911847850525,13318,4335,4335,8.78851096786093e-06,0.9996440410614014,0.0016907507088035345,15095.0224609375,0.13402537495570643,0.07182593657166202,topk,7192,4335,1603.6046142578125,2.702882766723633,13491.4111328125,PatientID_0054_T1_to_T2_t1c
PatientID_0010_T1_to_T4_t1c,SHUFFLED_TARGET_PCC,0.5343140264549625,0.36454877518574197,0.5446882251072828,0.37427596925519635,0.417978828609293,2.273231556249526,47392,34047,34047,8.21696812636219e-06,0.9990416169166565,0.0055582039058208466,49623.64453125,0.5446882251072828,0.37427596925519635,topk,35849,34047,20741.6328125,2943.792724609375,28881.91796875,PatientID_0037_T1_to_T2_t1c
PatientID_0011_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.4062612509458461,0.2549108197269152,0.40869747425566405,0.2568320401995743,0.3700216942104066,1.9239472554574881,60171,62041,62041,8.523872566001955e-06,0.9994723200798035,0.007171727251261473,64029.1796875,0.40869747425566405,0.2568320401995743,topk,59870,62041,23692.185546875,1353.04248046875,40337.0234375,PatientID_0024_T2_to_T3_t1c
PatientID_0012_T2_to_T3_t1c,SHUFFLED_TARGET_PCC,0.29587899945840507,0.17362558138216774,0.2871992199804367,0.16767812307068325,0.24520049946408035,1.700470188834568,76053,57434,57434,8.261063157988247e-06,0.9999829530715942,0.008771161548793316,78308.9296875,0.2871992199804367,0.16767812307068325,topk,53998,57434,19201.388671875,5185.705078125,59107.703125,PatientID_0045_T1_to_T2_t1c
PatientID_0013_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.17985544849935473,0.09881382683147141,0.18031069201447975,0.09908872423645382,0.15854950547260813,1.8833651135813236,21217,21951,21951,9.661998774390668e-06,0.9990891218185425,0.002752182073891163,24571.482421875,0.18031069201447975,0.09908872423645382,topk,22780,21951,3895.79638671875,27.78580093383789,20675.69140625,PatientID_0052_T1_to_T2_t1c
PatientID_0014_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.10529133581220257,0.05557125369428411,0.244444444654321,0.13924050660150616,0.045211990207703744,2.3707388508940266,20614,1800,1800,8.167296073224861e-06,0.999981164932251,0.0028057831805199385,25050.03125,0.244444444654321,0.13924050660150616,topk,1641,1800,1132.561767578125,97.46282196044922,23917.486328125,PatientID_0044_T1_to_T2_t1c
PatientID_0018_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.07586393904745672,0.039427533538787814,0.07946554181453391,0.04137678541143289,0.03521385042171126,2.3600667045976587,31769,1422,1422,8.381254701816943e-06,0.9998863935470581,0.003796504344791174,33895.19140625,0.07946554181453391,0.04137678541143289,topk,1207,1422,1193.5802001953125,477.03814697265625,32701.609375,PatientID_0032_T1_to_T2_t1c
PatientID_0019_T4_to_T5_t1c,SHUFFLED_TARGET_PCC,0.09218634463435119,0.048320413485874916,0.14351923377323036,0.07730714824509832,0.12875885745475366,2.007622769807532,7339,12946,12946,9.124390089709777e-06,0.9965583682060242,0.0011297924211248755,10086.787109375,0.14351923377323036,0.07730714824509832,topk,10308,12946,1298.76318359375,629.7969970703125,8788.0234375,PatientID_0033_T1_to_T2_t1c
PatientID_0020_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.12976691380719405,0.06938542302362656,0.15902633076437236,0.08638164328120641,0.17741050314699833,1.9589065446877338,8830,21116,21116,8.705536856723484e-06,0.996401309967041,0.0012445879401639104,11111.6806640625,0.15902633076437236,0.08638164328120641,topk,18835,21116,1971.328857421875,122.4935073852539,9140.3427734375,PatientID_0005_T3_to_T4_t1c
PatientID_0021_T2_to_T3_t1c,SHUFFLED_TARGET_PCC,0.08541399917079028,0.044612255160793264,0.0831792976262611,0.04339440697491456,0.06891510063532875,1.623717912611671,21799,15689,15689,8.5508791016764e-06,0.9989463686943054,0.0029601347632706165,26428.083984375,0.0831792976262611,0.04339440697491456,topk,15796,15689,1821.2940673828125,519.4027099609375,24606.83203125,PatientID_0051_T1_to_T3_t1c
PatientID_0022_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.3374252477629676,0.20295342950071169,0.416298755794978,0.262864449542888,0.4490195314428348,1.8165951250175147,55250,109628,109628,8.784011697571259e-06,0.9988873600959778,0.006759857293218374,60352.00390625,0.416298755794978,0.262864449542888,topk,115146,109628,27099.228515625,356.8967590332031,33252.75,PatientID_0053_T1_to_T3_t1c
PatientID_0024_T2_to_T3_t1c,SHUFFLED_TARGET_PCC,0.263856446548697,0.15197847322914237,0.43389009521100813,0.2770495824656096,0.5919539058037045,2.332197373678588,14193,59870,59870,8.795168469077908e-06,0.9980487823486328,0.001877563656307757,16762.888671875,0.43389009521100813,0.2770495824656096,topk,62041,59870,9922.857421875,37.70458984375,6840.00732421875,PatientID_0011_T1_to_T2_t1c
PatientID_0025_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.3940841518058225,0.24539526916269108,0.3959547480391506,0.24684761702827854,0.33391981678728044,2.1845104045335364,23164,29170,29170,9.917987881635781e-06,0.998837411403656,0.0034122925717383623,30464.947265625,0.3959547480391506,0.24684761702827854,topk,26620,29170,10172.849609375,6.393386363983154,20292.091796875,PatientID_0038_T1_to_T2_t1c
PatientID_0026_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.29828411023506224,0.17528431863230506,0.2934148082893052,0.1719309470884826,0.23909559287848772,1.767864342530687,53550,47622,47622,8.506616723025218e-06,0.9998173117637634,0.006746392697095871,60231.79296875,0.2934148082893052,0.1719309470884826,topk,38420,47622,14401.15625,2799.742919921875,45830.65234375,PatientID_0029_T1_to_T3_t1c
PatientID_0029_T1_to_T3_t1c,SHUFFLED_TARGET_PCC,0.1686877736801559,0.09211306038763403,0.16894846435230418,0.09226854682948915,0.15742097417671935,1.635774516546887,40827,38420,38420,8.045000868150964e-06,0.9999213218688965,0.004662510473281145,41626.89453125,0.16894846435230418,0.09226854682948915,topk,47622,38420,6552.9462890625,2016.6092529296875,35073.96875,PatientID_0026_T1_to_T2_t1c
PatientID_0030_T1_to_T3_t1c,SHUFFLED_TARGET_PCC,0.14174708158177327,0.0762797572859774,0.4135156021037285,0.26064901908710153,0.6219680856153064,2.287944754458268,7953,75054,75054,9.281061466026586e-06,0.9956788420677185,0.0012104603229090571,10806.990234375,0.4135156021037285,0.26064901908710153,topk,70106,75054,6721.60302734375,27.72750473022461,4085.382568359375,PatientID_0036_T1_to_T2_t1c
PatientID_0031_T2_to_T3_t1c,SHUFFLED_TARGET_PCC,0.1934841017207259,0.10710345916186464,0.19990964538062148,0.11105533946821887,0.12244173274962553,1.8463748429371576,38493,17708,17708,8.584142051404342e-06,0.9996521472930908,0.0048973048105835915,43723.13671875,0.19990964538062148,0.11105533946821887,topk,18698,17708,5353.53662109375,659.2310791015625,38369.60546875,PatientID_0055_T1_to_T4_t1c
PatientID_0032_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.06505875804984734,0.03362311819484376,0.16238608154002235,0.0883678994191308,0.029588552698246468,2.353154367765136,32916,1207,1207,8.089963557722513e-06,0.9997840523719788,0.004004559945315123,35752.7109375,0.16238608154002235,0.0883678994191308,topk,1422,1207,1057.8709716796875,645.422607421875,34694.8828125,PatientID_0018_T1_to_T2_t1c
PatientID_0033_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.11015528379524102,0.05828800793873686,0.10894450916235232,0.05761042430320575,0.06511928249026885,1.7800301143335662,26077,10308,10308,9.167399184661917e-06,0.9992836117744446,0.0033059900160878897,29515.87890625,0.10894450916235232,0.05761042430320575,topk,12946,10308,1922.0528564453125,36.491485595703125,27593.82421875,PatientID_0019_T4_to_T5_t1c
PatientID_0034_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.10923153054067351,0.05777097107462204,0.15910818353697642,0.08642994782735618,0.053404345137029095,2.10570677443392,50616,3947,3947,9.708560355647933e-06,0.9997987151145935,0.005778943188488483,51594.40625,0.15910818353697642,0.08642994782735618,topk,4335,3947,2755.365478515625,16.657936096191406,48838.98828125,PatientID_0008_T4_to_T6_t1c
PatientID_0035_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.0575298490783745,0.029616851031014097,0.2585761712912991,0.14848549054257879,0.026754315969057512,1.9566632884810577,68313,2711,2711,9.879689059744123e-06,0.9984763264656067,0.008097215555608273,72291.9375,0.2585761712912991,0.14848549054257879,topk,2310,2711,1934.121337890625,0.19313275814056396,70357.8671875,PatientID_0059_T1_to_T2_t1c
PatientID_0036_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.16696720624877373,0.09108795370573332,0.274427295814378,0.1590354872644389,0.29225878541439115,1.717466752389799,25278,70106,70106,8.34282491268823e-06,0.9991850256919861,0.0033648847602307796,30041.69140625,0.274427295814378,0.1590354872644389,topk,75054,70106,8779.9482421875,1274.5711669921875,21261.734375,PatientID_0030_T1_to_T3_t1c
PatientID_0037_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.351923201668912,0.21353568112571378,0.34977265754484405,0.21195422506783493,0.3175380479712161,2.062246133865172,41236,35849,35849,7.828136403986719e-06,0.9999909400939941,0.004763646051287651,42529.83203125,0.34977265754484405,0.21195422506783493,topk,34047,35849,13504.83984375,1852.4739990234375,29024.970703125,PatientID_0010_T1_to_T4_t1c
PatientID_0038_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.17768818528006078,0.09750701491750736,0.24879789633266722,0.14207263446506485,0.23345898808516793,2.007922603435658,14058,26620,26620,9.929173756972887e-06,0.9955854415893555,0.0020069873426109552,17918.3828125,0.24879789633266722,0.14207263446506485,topk,29170,26620,4183.20751953125,11.315656661987305,13735.1474609375,PatientID_0025_T1_to_T2_t1c
PatientID_0039_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.09357048638156738,0.049081534739881666,0.0702643971259934,0.036411411592265124,0.041040014686210394,2.140960175805512,44241,2761,2761,8.988828085421119e-06,0.9997604489326477,0.005322889890521765,47522.76171875,0.0702643971259934,0.036411411592265124,topk,2711,2761,1950.3348388671875,16.248516082763672,45572.3671875,PatientID_0035_T1_to_T2_t1c
PatientID_0041_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.2922162290132597,0.17110844710572165,0.29099876699808885,0.17027417033403505,0.16335202297646217,2.331917644600866,17289,8110,8110,9.91455544863129e-06,0.9822745323181152,0.0021773811895400286,19439.66015625,0.29099876699808885,0.17027417033403505,topk,8157,8110,3175.5078125,2.3170177936553955,16264.166015625,PatientID_0007_T2_to_T3_t1c
PatientID_0044_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.04589171022253832,0.023484732386050772,0.10542352251510557,0.05564490220146513,0.021146909223535917,2.0700942265728326,58457,1641,1641,8.07638843980385e-06,0.9999161958694458,0.006882610730826855,61447.94921875,0.10542352251510557,0.05564490220146513,topk,1800,1641,1299.4342041015625,26.19968032836914,60148.5546875,PatientID_0014_T1_to_T2_t1c
PatientID_0045_T1_to_T2_t1c,SHUFFLED_TARGET_PCC,0.227188221358448,0.12815134923314495,0.2664357939250858,0.15369248684257186,0.3077028836368706,1.8635785849877728,26147,53998,53998,8.504676770826336e-06,0.9992511868476868,0.003376437583938241,30144.833984375,0.2664357939250858,0.15369248684257186,topk,57434,53998,9275.65234375,4073.901611328125,20869.205078125,PatientID_0012_T2_to_T3_t1c
