condition,metric,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,family,method,evaluation_mode
FACTORIAL_ERROR_OFF_SUPPRESSION_OFF,dice,40,0.2762071661327381,0.16648155812622573,0.26824731584193473,0.1605030356699344,0.39412070110037045,0.22646387018022207,0.3291898900404981,mechanism,,
FACTORIAL_ERROR_OFF_SUPPRESSION_OFF,iou,40,0.17217822095393448,0.12831041248513567,0.15493534141934123,0.08725397321039535,0.24542442636452688,0.13536059465264147,0.21330490660274457,mechanism,,
FACTORIAL_ERROR_OFF_SUPPRESSION_ON,dice,40,0.28807542785274454,0.16609163800542953,0.2717145150435562,0.16296507290500262,0.41257797576110855,0.23917261534297019,0.3402789807346136,mechanism,,
FACTORIAL_ERROR_OFF_SUPPRESSION_ON,iou,40,0.1805115397879491,0.13090428453193412,0.15724931964574096,0.08871104648226841,0.2599050215901637,0.1431604145766683,0.22374975792433496,mechanism,,
FACTORIAL_ERROR_ON_SUPPRESSION_OFF,dice,40,0.36124881606469395,0.1783961471757867,0.3648097254845589,0.22398566567481387,0.4674398796645586,0.30873856225771446,0.41657250007476243,mechanism,,
FACTORIAL_ERROR_ON_SUPPRESSION_OFF,iou,40,0.23582878532160273,0.1467782736392715,0.223107813079505,0.12612524908292833,0.30501843925470984,0.19254466269689227,0.28245237956245184,mechanism,,
FACTORIAL_ERROR_ON_SUPPRESSION_ON,dice,40,0.3884208514831534,0.1735083320190867,0.37746157603644065,0.2644963101871098,0.49369194950449413,0.3363696787335541,0.4412586165395727,mechanism,,
FACTORIAL_ERROR_ON_SUPPRESSION_ON,iou,40,0.25657411219916976,0.15010497062885392,0.2326364630461027,0.15240340790608267,0.3277877622527373,0.21314495798343763,0.3052009381598968,mechanism,,
FIXED_P0,dice,40,0.2762071661327381,0.16648155812622573,0.26824731584193473,0.1605030356699344,0.39412070110037045,0.22718335196982162,0.3283168501329602,mechanism,,
FIXED_P0,iou,40,0.17217822095393448,0.12831041248513567,0.15493534141934123,0.08725397321039535,0.24542442636452688,0.13491417837561218,0.21256595371464979,mechanism,,
FULL_PCC,dice,40,0.3884208514831534,0.1735083320190867,0.37746157603644065,0.2644963101871098,0.49369194950449413,0.336739031093995,0.44278639014116333,mechanism,,
