family,metric,comparison,reference,N,paired_mean_difference,paired_median_difference,wilcoxon_p,paired_cohens_dz,wins,ties,losses,holm_adjusted_p
mechanism_ablation_vs_full,dice,ONE_ROUND,FULL_PCC,40,-0.10081396969914239,-0.09094629070503532,1.8189894035458565e-12,-2.2289000233186256,0,0,40,9.094947017729282e-12
mechanism_ablation_vs_full,dice,NO_ERROR_GUIDED_TERM,FULL_PCC,40,-0.10034542363040881,-0.08960217067933154,1.8189894035458565e-12,-1.9303806263174905,0,0,40,9.094947017729282e-12
mechanism_ablation_vs_full,dice,NO_OUTSIDE_SUPPRESSION,FULL_PCC,40,-0.027172035418459473,-0.01842497667446004,1.1402144795106595e-07,-0.8725761924434305,0,3,37,2.280428959021319e-07
mechanism_ablation_vs_full,dice,NO_SMOOTHING,FULL_PCC,40,0.11171885615300678,0.08186923266710416,1.8189894035458565e-12,1.3583575964444894,40,0,0,9.094947017729282e-12
mechanism_ablation_vs_full,dice,GLOBAL_DISCREPANCY,FULL_PCC,40,0.004805883669858307,0.002735919577879803,7.952884142692728e-07,0.8103771452657903,32,8,0,7.952884142692728e-07
mechanism_ablation_vs_full,iou,ONE_ROUND,FULL_PCC,40,-0.07630471719257965,-0.07098650708806833,1.8189894035458565e-12,-1.9395103677302281,0,0,40,9.094947017729282e-12
mechanism_ablation_vs_full,iou,NO_ERROR_GUIDED_TERM,FULL_PCC,40,-0.07606257241122066,-0.07437071477466395,1.8189894035458565e-12,-1.7413495801799292,0,0,40,9.094947017729282e-12
mechanism_ablation_vs_full,iou,NO_OUTSIDE_SUPPRESSION,FULL_PCC,40,-0.020745326877566996,-0.013547394883692398,1.1402144795106595e-07,-0.9277266396005811,0,3,37,2.280428959021319e-07
mechanism_ablation_vs_full,iou,NO_SMOOTHING,FULL_PCC,40,0.09628657867381614,0.06901119940395495,1.8189894035458565e-12,1.3470771130576755,40,0,0,9.094947017729282e-12
mechanism_ablation_vs_full,iou,GLOBAL_DISCREPANCY,FULL_PCC,40,0.0035027754495726426,0.0021640781113371893,7.952884142692728e-07,0.8969589759883195,32,8,0,7.952884142692728e-07
counterfactual_vs_full,dice,SHUFFLED_TARGET_PCC,FULL_PCC,40,-0.10477325096768411,-0.09780564230733538,3.637978807091713e-12,-1.6706817271372822,1,0,39,3.637978807091713e-12
counterfactual_vs_full,iou,SHUFFLED_TARGET_PCC,FULL_PCC,40,-0.07681469077669109,-0.07340069983315244,3.637978807091713e-12,-1.5412187442623888,1,0,39,3.637978807091713e-12
imperfect_guidance_vs_clean,dice,PARTIAL_50,CLEAN,40,-0.03923895140764806,-0.03416502892038467,1.8189894035458565e-12,-2.0323239517037908,0,0,40,9.094947017729282e-12
imperfect_guidance_vs_clean,dice,PARTIAL_25,CLEAN,40,-0.06469859610813418,-0.05933824940779346,1.8189894035458565e-12,-2.1010217397896023,0,0,40,9.094947017729282e-12
imperfect_guidance_vs_clean,dice,FP_25,CLEAN,40,-0.004250639512543486,-0.0025312806215661288,2.5287539818933336e-07,-0.7940955549299963,3,2,35,2.5287539818933336e-07
imperfect_guidance_vs_clean,dice,SHIFT_3,CLEAN,40,-0.019981650482200464,-0.015691381719250816,1.8189894035458565e-12,-1.7232515765960703,0,0,40,9.094947017729282e-12
imperfect_guidance_vs_clean,dice,MIXED,CLEAN,40,-0.055666091521760316,-0.045038817926071444,1.8189894035458565e-12,-2.0853693282414647,0,0,40,9.094947017729282e-12
imperfect_guidance_vs_clean,iou,PARTIAL_50,CLEAN,40,-0.030954382814641756,-0.029231273111456457,1.8189894035458565e-12,-1.8225607678188558,0,0,40,9.094947017729282e-12
imperfect_guidance_vs_clean,iou,PARTIAL_25,CLEAN,40,-0.050896105126681836,-0.046945129534617346,1.8189894035458565e-12,-1.7405016348196345,0,0,40,9.094947017729282e-12
imperfect_guidance_vs_clean,iou,FP_25,CLEAN,40,-0.003322849123643397,-0.0021298076155139636,2.5287539818933336e-07,-0.8542678551151704,3,2,35,2.5287539818933336e-07
imperfect_guidance_vs_clean,iou,SHIFT_3,CLEAN,40,-0.016116896637493276,-0.011603396957757556,1.8189894035458565e-12,-1.519797178590438,0,0,40,9.094947017729282e-12
imperfect_guidance_vs_clean,iou,MIXED,CLEAN,40,-0.04378800797177111,-0.038459462203954214,1.8189894035458565e-12,-1.7837606312414818,0,0,40,9.094947017729282e-12
target_construction_same_definition_vs_original,dice,BOUNDARY_TOLERANT,ORIGINAL,40,-0.2194546843073048,-0.21290214079081451,1.8189894035458565e-12,-2.310875124317186,0,0,40,5.4569682106375694e-12
target_construction_same_definition_vs_original,dice,ERODED_CURRENT,ORIGINAL,40,-0.06181566754406662,-0.042363368620772,4.602043190971017e-10,-1.031188357326767,2,0,38,9.204086381942034e-10
target_construction_same_definition_vs_original,dice,LARGE_CHANGE_ONLY,ORIGINAL,40,-0.004260983184853891,-0.000696442069206965,0.001536053204116873,-0.3730298744822424,10,1,29,0.001536053204116873
target_construction_same_definition_vs_original,iou,BOUNDARY_TOLERANT,ORIGINAL,40,-0.15549244384345598,-0.14966427103573993,1.8189894035458565e-12,-1.8648113515257074,0,0,40,5.4569682106375694e-12
target_construction_same_definition_vs_original,iou,ERODED_CURRENT,ORIGINAL,40,-0.05253960679979386,-0.034495100765104994,2.4920154828578234e-10,-0.8972038311980041,2,0,38,4.984030965715647e-10
target_construction_same_definition_vs_original,iou,LARGE_CHANGE_ONLY,ORIGINAL,40,-0.0026746931653831413,-0.000643123888071806,0.0016114318526958744,-0.36011448843169097,10,1,29,0.0016114318526958744
target_construction_original_clean_vs_original,dice,BOUNDARY_TOLERANT,ORIGINAL,40,-0.0380929083562957,-0.025226742860407853,1.8189894035458565e-12,-1.3205386368083472,0,0,40,5.4569682106375694e-12
target_construction_original_clean_vs_original,dice,ERODED_CURRENT,ORIGINAL,40,0.024716927177421216,0.014550749984072034,1.8189894035458565e-12,1.0787684582165156,40,0,0,5.4569682106375694e-12
target_construction_original_clean_vs_original,dice,LARGE_CHANGE_ONLY,ORIGINAL,40,-6.601339668033911e-05,3.4249724701423956e-05,0.13131565813741713,-0.023482418178667454,22,9,9,0.13131565813741713
target_construction_original_clean_vs_original,iou,BOUNDARY_TOLERANT,ORIGINAL,40,-0.02854307502609623,-0.02343374003657385,1.8189894035458565e-12,-1.3840803940135984,0,0,40,5.4569682106375694e-12
