family,evaluation,metric,comparison,reference,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_p_two_sided,cohens_dz,positive,zero,negative,positive_rate_exact_ci_low,positive_rate_exact_ci_high,holm_adjusted_p
target_independent:crossfitted_threshold:dice_fixed,crossfitted_threshold,dice_fixed,EIA_BLEND_075,FULL_PCC,40,0.05179111764939024,0.177729875418765,0.047653316511911806,0.022729144598556024,0.08768049289307073,-0.0018506839973719531,0.10711049045272754,0.02589861064188881,0.29140355569012033,32,0,8,0.6435219813207784,0.9094775906000439,0.07769583192566643
target_independent:crossfitted_threshold:dice_fixed,crossfitted_threshold,dice_fixed,EIA_BLEND_090,FULL_PCC,40,0.008349158896114489,0.17308391448501997,0.002126712802768535,-0.03102798762952478,0.05158399347476558,-0.04327768165823173,0.062433647584481305,0.8890015714441688,0.048237636183327076,21,0,19,0.3612801352643859,0.6848802933650144,0.8890015714441688
target_independent:crossfitted_threshold:dice_fixed,crossfitted_threshold,dice_fixed,EIA_LINEAR,FULL_PCC,40,0.0717249564064349,0.3027428855898835,-0.02330608919735301,-0.18324774499136703,0.29385867546473887,-0.01830450100722075,0.16363816781991425,0.30106151267864334,0.2369170666609768,19,0,21,0.3151197066349855,0.638719864735614,0.6021230253572867
target_independent:crossfitted_threshold:dice_fixed,crossfitted_threshold,dice_fixed,EIA_MORPH,FULL_PCC,40,-0.06925420602791477,0.099405494961839,-0.06620917285197231,-0.14743860620807142,0.00010349642244446289,-0.09958701817078452,-0.039234170062889685,0.00017029843002092093,-0.6966838810520578,10,0,30,0.12691479893284677,0.41196198015153634,0.0006811937200836837
target_independent:crossfitted_threshold:dice_fixed,crossfitted_threshold,dice_fixed,FIXED,FULL_PCC,40,-0.11018833706281343,0.08427685733628099,-0.08060736500395381,-0.167005836803804,-0.05312798911184187,-0.13648907936663957,-0.08503677797751509,2.546585164964199e-11,-1.3074566440362225,1,0,39,0.0006327449320901936,0.13158585848276577,1.7826096154749393e-10
target_independent:crossfitted_threshold:dice_fixed,crossfitted_threshold,dice_fixed,NAIVE,FULL_PCC,40,-0.10242517891041694,0.09192051820276088,-0.08064769744642472,-0.16718316763641694,-0.035892564645760065,-0.130952911550067,-0.07514266727123999,1.9444996723905206e-09,-1.1142798247120906,5,0,35,0.04185962613861672,0.26803291736182305,1.1666998034343123e-08
target_independent:crossfitted_threshold:dice_fixed,crossfitted_threshold,dice_fixed,NO_SMOOTHING,FULL_PCC,40,0.059268346040404665,0.06882233413900264,0.0525641594759963,0.006439424469550665,0.08796923424147722,0.038416850193503785,0.08074420230126647,2.2321128199109808e-06,0.861178958573223,32,0,8,0.6435219813207784,0.9094775906000439,1.1160564099554904e-05
target_independent:crossfitted_threshold:iou_fixed,crossfitted_threshold,iou_fixed,EIA_BLEND_075,FULL_PCC,40,0.04888427334014567,0.14230314006883768,0.0385244161972354,0.013053999877033047,0.0732098227221358,0.0070124140364236694,0.09341661293629853,0.01355766506276268,0.3435220987850191,32,0,8,0.6435219813207784,0.9094775906000439,0.04067299518828804
target_independent:crossfitted_threshold:iou_fixed,crossfitted_threshold,iou_fixed,EIA_BLEND_090,FULL_PCC,40,0.015093713142839171,0.13435026258832183,0.0016491641551378347,-0.019663522454063442,0.041345444657222216,-0.024403952648099247,0.057037432587909366,0.6463036218483467,0.11234598914845118,21,0,19,0.3612801352643859,0.6848802933650144,0.6463036218483467
target_independent:crossfitted_threshold:iou_fixed,crossfitted_threshold,iou_fixed,EIA_LINEAR,FULL_PCC,40,0.06973926349136181,0.26244638318267904,-0.015644202008254268,-0.127408464957019,0.21462871664484423,-0.007811127169440942,0.15510443097679216,0.28865784978552256,0.2657276608106995,19,0,21,0.3151197066349855,0.638719864735614,0.5773156995710451
target_independent:crossfitted_threshold:iou_fixed,crossfitted_threshold,iou_fixed,EIA_MORPH,FULL_PCC,40,-0.05442383863794035,0.07829321931711439,-0.04061393640355229,-0.11177783623557755,-0.0020810000261137045,-0.07876584383727349,-0.03081632020536272,0.00028057557574356906,-0.6951283790937902,10,0,30,0.12691479893284677,0.41196198015153634,0.0011223023029742762
target_independent:crossfitted_threshold:iou_fixed,crossfitted_threshold,iou_fixed,FIXED,FULL_PCC,40,-0.08028853645401861,0.068210940831836,-0.054496186413843906,-0.12044919115244927,-0.03261236775863123,-0.10162538604938468,-0.06004058382149631,2.546585164964199e-11,-1.1770624400557403,1,0,39,0.0006327449320901936,0.13158585848276577,1.7826096154749393e-10
target_independent:crossfitted_threshold:iou_fixed,crossfitted_threshold,iou_fixed,NAIVE,FULL_PCC,40,-0.07565695955648094,0.07298864948170676,-0.052180230607796044,-0.12197139971300355,-0.020897768791746627,-0.09861864056189817,-0.0542735086155567,1.6443664208054543e-09,-1.0365578770633774,5,0,35,0.04185962613861672,0.26803291736182305,9.866198524832726e-09
target_independent:crossfitted_threshold:iou_fixed,crossfitted_threshold,iou_fixed,NO_SMOOTHING,FULL_PCC,40,0.05144239183956863,0.05823966553708576,0.041891841829221045,0.003850679938390021,0.09526866286105407,0.033863933606168614,0.06917602219121732,1.8586324586067349e-06,0.8832878994954259,32,0,8,0.6435219813207784,0.9094775906000439,9.293162293033674e-06
target_independent:crossfitted_threshold:soft_dice,crossfitted_threshold,soft_dice,EIA_BLEND_075,FULL_PCC,40,0.011445250498369506,0.03813648966990348,-0.003506016037740388,-0.01014113140687151,0.03008829019026457,0.00039628004691230346,0.02330214312846738,0.5185272742000961,0.3001128472346488,17,0,23,0.270429031268837,0.5910994195730367,1.0
target_independent:crossfitted_threshold:soft_dice,crossfitted_threshold,soft_dice,EIA_BLEND_090,FULL_PCC,40,-0.02424081301693849,0.016700005226081668,-0.021543555765264018,-0.03704947257922797,-0.013272278789322007,-0.02926919648774744,-0.019108760731997708,1.1641532182693481e-09,-1.451545235391889,2,0,38,0.006113646599346682,0.16919686395941763,4.6566128730773926e-09
target_independent:crossfitted_threshold:soft_dice,crossfitted_threshold,soft_dice,EIA_LINEAR,FULL_PCC,40,0.016308930353003882,0.049732726039297605,-0.004393878305443001,-0.012014779666684024,0.04379669949730642,0.0016370177645259624,0.03203117219749057,0.5536995567435952,0.3279315583890768,15,0,25,0.2272627224818259,0.541985247767389,1.0
target_independent:crossfitted_threshold:soft_dice,crossfitted_threshold,soft_dice,EIA_MORPH,FULL_PCC,40,-0.013364774619887262,0.03571108396856378,-0.013512827264750796,-0.037221419873111644,0.00319675961524591,-0.024005728970528672,-0.002053678388797807,0.011536851214259514,-0.3742472402028508,12,0,28,0.16562720439323564,0.4653162852541244,0.03461055364277854
target_independent:crossfitted_threshold:soft_dice,crossfitted_threshold,soft_dice,FIXED,FULL_PCC,40,-0.04763075603424919,0.021288314414508454,-0.049492895168477796,-0.0633280367091832,-0.03528597900847833,-0.05393534145694445,-0.0410366464457306,1.8189894035458565e-12,-2.2374132167922034,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:crossfitted_threshold:soft_dice,crossfitted_threshold,soft_dice,NAIVE,FULL_PCC,40,-0.04181083961885347,0.022230587115368298,-0.04054229382246412,-0.052386232927538655,-0.02794981660454949,-0.04880552376584815,-0.03519191284091006,1.8189894035458565e-12,-1.8807798193484997,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:crossfitted_threshold:soft_dice,crossfitted_threshold,soft_dice,NO_SMOOTHING,FULL_PCC,40,0.03958675627906727,0.021028248227313053,0.04058212874651229,0.024386816718979645,0.05329994053902086,0.03316028453458306,0.04608955850102197,1.8189894035458565e-12,1.8825513115091084,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
target_independent:crossfitted_threshold:brier_score,crossfitted_threshold,brier_score,EIA_BLEND_075,FULL_PCC,40,-0.0008118203079873649,0.000580835060305193,-0.0006260476370198,-0.0011713006414118998,-0.00037683595385999973,-0.0009954208218512057,-0.0006385514096132286,1.8189894035458565e-12,-1.3976778666921439,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:crossfitted_threshold:brier_score,crossfitted_threshold,brier_score,EIA_BLEND_090,FULL_PCC,40,0.000551431653534755,0.00045372044959432635,0.0005054254603861501,0.0002773279441849499,0.0008326462913908249,0.0004139503528534463,0.0006922274366740218,3.1632225727662444e-09,1.215355521285833,36,0,4,0.7633626001240518,0.9720745847057807,6.326445145532489e-09
target_independent:crossfitted_threshold:brier_score,crossfitted_threshold,brier_score,EIA_LINEAR,FULL_PCC,40,0.0004656837368221376,0.001186986755703083,0.0003800991585646,0.00012404061132832505,0.0010257319924351,9.499114091892987e-05,0.0008206872558193321,0.005096850996778812,0.39232429054888746,30,0,10,0.5880380198484636,0.8730852010671533,0.005096850996778812
target_independent:crossfitted_threshold:brier_score,crossfitted_threshold,brier_score,EIA_MORPH,FULL_PCC,40,0.0015563487902006225,0.0011565609650233297,0.0013549183703337,0.0007044397177900498,0.0023836949095077994,0.001218348103107328,0.0019104597669242977,7.821654435247183e-11,1.3456694781059193,38,0,2,0.8308031360405823,0.9938863534006533,2.346496330574155e-10
target_independent:crossfitted_threshold:brier_score,crossfitted_threshold,brier_score,FIXED,FULL_PCC,40,0.0015995109670942024,0.0008222560695710766,0.0013431548641103504,0.0010513914867465,0.0020905508362460247,0.0013486159161410951,0.001857411017709553,1.8189894035458565e-12,1.945271097759819,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
target_independent:crossfitted_threshold:brier_score,crossfitted_threshold,brier_score,NAIVE,FULL_PCC,40,0.0021574938403353173,0.0010659645527521622,0.00180654315310515,0.0014371070001421497,0.002753738505333875,0.0018410470189584598,0.002477676371368695,1.8189894035458565e-12,2.0239827250962414,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
target_independent:crossfitted_threshold:brier_score,crossfitted_threshold,brier_score,NO_SMOOTHING,FULL_PCC,40,-0.0008492692029274725,0.0004171230481338906,-0.0007440811990127498,-0.001095973809415575,-0.0005567937193537752,-0.0009781102338671814,-0.0007229750752160726,1.8189894035458565e-12,-2.0360160070916753,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:crossfitted_threshold:average_precision,crossfitted_threshold,average_precision,EIA_BLEND_075,FULL_PCC,40,0.23905235982954193,0.15040084229512563,0.1981523048006773,0.13998253942864974,0.28717342406819535,0.19495702232095471,0.28670336643101724,1.8189894035458565e-12,1.5894349804268977,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
target_independent:crossfitted_threshold:average_precision,crossfitted_threshold,average_precision,EIA_BLEND_090,FULL_PCC,40,0.17969368523410023,0.1482530429724461,0.13742764823175246,0.0736039337585456,0.22791958453455147,0.13654194981414877,0.22706501068417506,1.8189894035458565e-12,1.212074178251421,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
target_independent:crossfitted_threshold:average_precision,crossfitted_threshold,average_precision,EIA_LINEAR,FULL_PCC,40,-0.021377547411304716,0.12635306173945898,-0.04247703948815239,-0.09943987721518269,0.044967344744816645,-0.05904127541758818,0.017134261421457804,0.1423485195809917,-0.16918899405370477,13,0,27,0.18572896676295317,0.49129487547845035,0.1423485195809917
target_independent:crossfitted_threshold:average_precision,crossfitted_threshold,average_precision,EIA_MORPH,FULL_PCC,40,-0.25842127754902744,0.11776206495732358,-0.2757497183636033,-0.33845297755151016,-0.15618609825703153,-0.2943988986555137,-0.2226073784413148,1.8189894035458565e-12,-2.1944356838739036,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:crossfitted_threshold:average_precision,crossfitted_threshold,average_precision,FIXED,FULL_PCC,40,-0.1437229485554095,0.055948382234513275,-0.14643028737682265,-0.18274800731476662,-0.10409145331148725,-0.16101355003599144,-0.1267650332364475,1.8189894035458565e-12,-2.5688490500579677,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:crossfitted_threshold:average_precision,crossfitted_threshold,average_precision,NAIVE,FULL_PCC,40,-0.19597216926180333,0.08766788865456557,-0.19795898892147784,-0.2540014060206757,-0.1354985902926161,-0.2228554714801425,-0.16986815149526246,1.8189894035458565e-12,-2.2353928247774393,0,0,40,0.0,0.08809730287880335,1.2732925824820995e-11
target_independent:crossfitted_threshold:average_precision,crossfitted_threshold,average_precision,NO_SMOOTHING,FULL_PCC,40,0.15004847401844063,0.09093642264890224,0.11902028155643364,0.08366570937664353,0.19741715003370608,0.12410306465467644,0.17977295051860626,1.8189894035458565e-12,1.650037131961579,40,0,0,0.9119026971211966,1.0,1.2732925824820995e-11
