family,condition,metric,difference_definition,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_p_two_sided,cohens_dz,positive,zero,negative,positive_rate_exact_ci_low,positive_rate_exact_ci_high,holm_adjusted_p
nosmooth_difference_in_differences:dice_topk,PARTIAL_50,dice_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.07230892402244402,0.04134972000173971,-0.06547985138741215,-0.09191151762873649,-0.042551664689351884,-0.08545382927112115,-0.06014892883093948,1.8189894035458565e-12,-1.7487161707359022,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:dice_topk,PARTIAL_25,dice_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.1031998347912638,0.06364927442920576,-0.09297187760394746,-0.1408473235535307,-0.054714207925194804,-0.12347721434716934,-0.08450361051056587,1.8189894035458565e-12,-1.6213827371441343,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:dice_topk,FP_25,dice_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,0.0018726595017812583,0.006056391172406294,9.224638447780098e-05,-0.001574158875255846,0.0027933849651281054,0.00016275301284016854,0.0038629082974561474,0.36820016943056544,0.3092038556415145,20,0,20,0.3380178137372346,0.6619821862627654,0.36820016943056544
nosmooth_difference_in_differences:dice_topk,SHIFT_3,dice_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.1001563879640091,0.07690976894946384,-0.07560035213378472,-0.130562258499731,-0.04297314596483086,-0.12453512918957792,-0.07797576592878562,1.8189894035458565e-12,-1.3022583389870828,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:dice_topk,MIXED,dice_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.10977744088322053,0.08423175237933048,-0.08850977056444406,-0.13696704046589547,-0.046372489958791605,-0.1362654519300062,-0.0856816889159755,1.8189894035458565e-12,-1.303278606728342,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_topk,PARTIAL_50,iou_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.0678542337342728,0.045644648044793026,-0.05191730447373358,-0.09295623842179654,-0.03037520956534218,-0.08211248341759862,-0.05444347293185758,1.8189894035458565e-12,-1.48657589971303,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_topk,PARTIAL_25,iou_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.09099753917560609,0.06046184939873135,-0.07451837395379736,-0.1270788329076389,-0.036560141262916755,-0.11025795188278047,-0.07278203430058176,1.8189894035458565e-12,-1.505040617853073,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_topk,FP_25,iou_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,0.0010496127457821716,0.00446262044998226,-0.00010611619682792534,-0.0016248267039249628,0.0016476548646417039,-0.00025100007295794896,0.0024433043298213463,0.7145974449867936,0.2352009895410989,19,0,21,0.3151197066349855,0.638719864735614,0.7145974449867936
nosmooth_difference_in_differences:iou_topk,SHIFT_3,iou_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.08691577402539376,0.06704630401054382,-0.06153718729325651,-0.12882602204484492,-0.029254196113269154,-0.10886157057047485,-0.06702646324312542,1.8189894035458565e-12,-1.2963544420245035,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_topk,MIXED,iou_topk,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.09447538436452248,0.07205321166143225,-0.06704550414047243,-0.1345426001845596,-0.034791897701865804,-0.11793017959642292,-0.07315877601132971,1.8189894035458565e-12,-1.3111890807650437,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:dice_fixed05,PARTIAL_50,dice_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.03504151980156005,0.023374456707465394,-0.03545396410047233,-0.05092687041236012,-0.01062778540000233,-0.04235630375534275,-0.02801276144708262,1.8189894035458565e-12,-1.499137295044312,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:dice_fixed05,PARTIAL_25,dice_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.050022026100926584,0.03421008523190226,-0.05114594759803788,-0.07474035126851306,-0.019248212342903262,-0.06076320466636059,-0.03950885751637668,1.8189894035458565e-12,-1.4622011538947894,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:dice_fixed05,FP_25,dice_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,0.0019612559997605394,0.0020569142152699737,0.0013529092822770206,0.0005856101992490204,0.0026870031777551547,0.0013593778246502547,0.0026297309586170493,1.1641532182693481e-09,0.9534943096803485,35,0,5,0.731967082638177,0.9581403738613833,1.1641532182693481e-09
nosmooth_difference_in_differences:dice_fixed05,SHIFT_3,dice_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.03506212707174093,0.024884440898227975,-0.03302197483796329,-0.04538667091904715,-0.014878290476601552,-0.042975346367172575,-0.027812708383340726,1.8189894035458565e-12,-1.408997984529269,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:dice_fixed05,MIXED,dice_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.043034421171908734,0.03130249914587496,-0.042312401921188916,-0.06280586664412105,-0.013131426668787461,-0.052946726764250274,-0.03360954365221576,1.8189894035458565e-12,-1.3747918647441222,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_fixed05,PARTIAL_50,iou_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.0270317656538333,0.019214840179920704,-0.028013031174943442,-0.041461267443243584,-0.007002914178571483,-0.032967835219719285,-0.02129649776378152,1.8189894035458565e-12,-1.4068170955739303,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_fixed05,PARTIAL_25,iou_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.03742886187741295,0.026675906933749702,-0.03727732807384653,-0.05495684435339537,-0.01174815286286117,-0.045560726909072174,-0.029330451579867974,1.8189894035458565e-12,-1.403096133539845,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_fixed05,FP_25,iou_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,0.0013270554072889026,0.0016457109767783907,0.0008224544049898058,0.00032697955137938467,0.0016159127894676516,0.0008504054792891965,0.0018755573034018942,2.3623215383850038e-08,0.8063720945015014,35,0,5,0.731967082638177,0.9581403738613833,2.3623215383850038e-08
nosmooth_difference_in_differences:iou_fixed05,SHIFT_3,iou_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.026643059035334003,0.019630192673840374,-0.024988030311242623,-0.03655022174190216,-0.009582964501200495,-0.03290157093086435,-0.02075895939004819,1.8189894035458565e-12,-1.357248982626601,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:iou_fixed05,MIXED,iou_fixed05,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,-0.0324318391654438,0.024139690820891246,-0.03163657280728428,-0.0462228464423389,-0.008462788542910007,-0.03981488567359506,-0.025294875693430658,1.8189894035458565e-12,-1.343506816474065,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_difference_in_differences:outside_clean_target_mass,PARTIAL_50,outside_clean_target_mass,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,585.4529430148694,534.7735862736008,406.845856176883,185.9518127884976,843.1405576062562,431.17939883415113,758.8730824394258,1.8189894035458565e-12,1.0947678756806438,40,0,0,0.9119026971211966,1.0,9.094947017729282e-12
nosmooth_difference_in_differences:outside_clean_target_mass,PARTIAL_25,outside_clean_target_mass,(NoSmooth degraded-NoSmooth clean)-(Full degraded-Full clean),40,818.2525523898695,723.1892097984261,548.4224843725551,326.83119415720284,1131.9430595618005,612.4516666354806,1052.491801365217,1.8189894035458565e-12,1.13145016726389,40,0,0,0.9119026971211966,1.0,9.094947017729282e-12
