family,condition,metric,comparison,reference,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_p_two_sided,cohens_dz,positive,zero,negative,positive_rate_exact_ci_low,positive_rate_exact_ci_high,holm_adjusted_p
nosmooth_absolute:dice_topk,PARTIAL_50,dice_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.039409932130562764,0.047959854647043644,0.023735944052801744,0.011704029661517276,0.06315403025147882,0.025460129179180398,0.054745654751750895,3.489894879749045e-07,0.8217275139926239,34,0,6,0.7016473331604235,0.9428977418454741,1.395957951899618e-06
nosmooth_absolute:dice_topk,PARTIAL_25,dice_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.008519021361742984,0.02969211009420658,0.009295442213434854,-0.013230246254477575,0.01958299714302051,-0.0007115538460329526,0.017985812194731107,0.1149664051754371,0.28691195522022483,26,0,14,0.4831555463510092,0.7937175091292331,0.2299328103508742
nosmooth_absolute:dice_topk,FP_25,dice_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.11359151565478802,0.08133768369175187,0.08288614043472084,0.05215550000536821,0.15561464871522612,0.09021832551229714,0.13957114604978127,1.8189894035458565e-12,1.396542297482549,40,0,0,0.9119026971211966,1.0,9.094947017729282e-12
nosmooth_absolute:dice_topk,SHIFT_3,dice_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.011562468188997662,0.02798757871829071,0.01335929988006515,-0.0014930410259138271,0.0255805480910702,0.0028087134665478863,0.020055544936110063,0.005096850996778812,0.4131285634023513,29,0,11,0.5611170928206619,0.8539910080361406,0.015290552990336437
nosmooth_absolute:dice_topk,MIXED,dice_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.001941415269786256,0.024328026875688205,0.00614058823270007,-0.01009159807147536,0.0156638064668181,-0.005658239300552708,0.009064174156784515,0.3073915451623179,0.07980159178985353,26,0,14,0.4831555463510092,0.7937175091292331,0.3073915451623179
nosmooth_absolute:iou_topk,PARTIAL_50,iou_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.028432344939543348,0.03486458326825337,0.01930830605179723,0.008215632171570904,0.04723567176971527,0.01794707045990494,0.039180821649763685,1.5435380191775039e-06,0.8155079531793222,34,0,6,0.7016473331604235,0.9428977418454741,6.1741520767100155e-06
nosmooth_absolute:iou_topk,PARTIAL_25,iou_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.0052890394982100615,0.02152667476975422,0.00562992123089965,-0.007730636392888148,0.015404184714298358,-0.0011566434361288372,0.011904320050709825,0.11814906760264421,0.2456970040557011,26,0,14,0.4831555463510092,0.7937175091292331,0.23629813520528842
nosmooth_absolute:iou_topk,FP_25,iou_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.09733619141959833,0.07063253218909972,0.07247054300907144,0.046460922094056355,0.1349325896030676,0.07681006579152644,0.11984382021690143,1.8189894035458565e-12,1.3780645886941545,40,0,0,0.9119026971211966,1.0,9.094947017729282e-12
nosmooth_absolute:iou_topk,SHIFT_3,iou_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.00937080464842239,0.02384496045176795,0.009956641741679206,-0.00027946966015260366,0.02133230981300302,0.0021769966519127226,0.01677202526707118,0.007917965558590367,0.3929888945455393,30,0,10,0.5880380198484636,0.8730852010671533,0.023753896675771102
nosmooth_absolute:iou_topk,MIXED,iou_topk,NO_SMOOTHING_PCC,FULL_PCC,40,0.0018111943092936733,0.019658206976855153,0.004139557393849032,-0.0067378310450576,0.011389084871939861,-0.004201047137947419,0.007775530681060542,0.32030806105103693,0.09213425778994526,26,0,14,0.4831555463510092,0.7937175091292331,0.32030806105103693
nosmooth_absolute:dice_fixed05,PARTIAL_50,dice_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.015448995418216215,0.012027413335523136,0.013072107027137292,0.007802904834758401,0.022358370548502607,0.011857008442082746,0.019257611475530265,2.000888343900442e-10,1.284481956946419,36,0,4,0.7633626001240518,0.9720745847057807,6.002665031701326e-10
nosmooth_absolute:dice_fixed05,PARTIAL_25,dice_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.0004684891188496694,0.015415076974073894,0.004770390774377249,-0.007971896996971931,0.012570869714351063,-0.004417188274549025,0.005082031343479083,0.5359713830403052,0.03039161722238596,24,0,16,0.4332670521932944,0.7513500134122563,0.5359713830403052
nosmooth_absolute:dice_fixed05,FP_25,dice_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.0524517712195368,0.027518259983684203,0.05153590919112587,0.0337352391133313,0.07536195725812944,0.044146134986471915,0.060734018318559166,1.8189894035458565e-12,1.9060715049075005,40,0,0,0.9119026971211966,1.0,9.094947017729282e-12
nosmooth_absolute:dice_fixed05,SHIFT_3,dice_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.015428388148035327,0.01048053086706442,0.014311814937443518,0.008323569663659658,0.020404120284024857,0.012342580279176063,0.01877108094320803,2.546585164964199e-11,1.4720998720131429,38,0,2,0.8308031360405823,0.9938863534006533,1.0186340659856796e-10
nosmooth_absolute:dice_fixed05,MIXED,dice_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.007456094047867531,0.012228983777649687,0.00715635230636431,0.0018578601210545408,0.015950669015038003,0.003840299497356258,0.011282939068290587,0.0003364373387739761,0.6097067576043946,31,0,9,0.6154883226965773,0.8916033610159492,0.0006728746775479522
nosmooth_absolute:iou_fixed05,PARTIAL_50,iou_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.011324005298393386,0.010035182169260562,0.008791274600139704,0.0043293430028005266,0.017224614648278305,0.008391012448013244,0.014492034154498108,2.000888343900442e-10,1.128430466671617,36,0,4,0.7633626001240518,0.9720745847057807,6.002665031701326e-10
nosmooth_absolute:iou_fixed05,PARTIAL_25,iou_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.000926909074813734,0.010820574213011937,0.0027256783595704485,-0.004803447347618601,0.007923936031932442,-0.002467582525010811,0.004131644019008298,0.3974238318751304,0.08566172705503088,24,0,16,0.4332670521932944,0.7513500134122563,0.3974238318751304
nosmooth_absolute:iou_fixed05,FP_25,iou_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.03968282635951559,0.024749371707804602,0.035347094865033256,0.021292575071720412,0.05865917847323236,0.03220801777225164,0.04731727879344063,1.8189894035458565e-12,1.6033872224320664,40,0,0,0.9119026971211966,1.0,9.094947017729282e-12
nosmooth_absolute:iou_fixed05,SHIFT_3,iou_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.011712711916892677,0.009817221995586442,0.009919828133148054,0.0048618388535373955,0.016204147049400236,0.0089073002544048,0.014894275195299239,2.546585164964199e-11,1.1930780339039289,39,0,1,0.8684141415172343,0.9993672550679098,1.0186340659856796e-10
nosmooth_absolute:iou_fixed05,MIXED,iou_fixed05,NO_SMOOTHING_PCC,FULL_PCC,40,0.005923931786782887,0.010148366636093526,0.003830093752531037,0.0012532944451618035,0.009317907185474521,0.0029690513454741496,0.00912698700822619,0.00026391974461148493,0.5837325354125383,31,0,9,0.6154883226965773,0.8916033610159492,0.0005278394892229699
nosmooth_absolute:outside_clean_target_mass,PARTIAL_50,outside_clean_target_mass,NO_SMOOTHING_PCC,FULL_PCC,40,-3642.7349243164062,2094.7652221780017,-3095.5263671875,-4875.2099609375,-1968.91015625,-4316.433292236328,-3024.181087036133,1.8189894035458565e-12,-1.7389704992948687,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_absolute:outside_clean_target_mass,PARTIAL_25,outside_clean_target_mass,NO_SMOOTHING_PCC,FULL_PCC,40,-3409.9353149414064,2010.7398009740675,-3037.81640625,-4535.384765625,-1830.72314453125,-4036.6470751953125,-2828.8182415771485,1.8189894035458565e-12,-1.6958610523795885,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_absolute:outside_clean_target_mass,FP_25,outside_clean_target_mass,NO_SMOOTHING_PCC,FULL_PCC,40,-4632.3009570312515,2496.0804443559236,-3655.1337890625,-6126.5316406249985,-2794.1404296875016,-5412.108484985354,-3885.764153381349,1.8189894035458565e-12,-1.8558299943840744,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_absolute:outside_clean_target_mass,SHIFT_3,outside_clean_target_mass,NO_SMOOTHING_PCC,FULL_PCC,40,-3420.630511474609,2023.7842025905422,-3007.966471354168,-4601.44108072917,-1850.3634033203107,-4057.555951690675,-2828.1362237040203,1.8189894035458565e-12,-1.6902150471853845,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
nosmooth_absolute:outside_clean_target_mass,MIXED,outside_clean_target_mass,NO_SMOOTHING_PCC,FULL_PCC,40,-3854.853751220703,2203.995292237425,-3167.9660481770825,-5108.329524739582,-2494.097167968751,-4541.760108144124,-3216.336625162761,1.8189894035458565e-12,-1.7490299388558945,0,0,40,0.0,0.08809730287880335,9.094947017729282e-12
