family,endpoint,classification,prohibited_overclaim
layer3a_absolute_pri,pcc_minus_baseline_core_PRI,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3a_absolute_pri,pcc_minus_baseline_boundary_PRI,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3a_absolute_pri,pcc_minus_baseline_peritumour_PRI,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3a_relative_pri,pcc_minus_baseline_core_relative_PRI,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3a_relative_pri,pcc_minus_baseline_boundary_relative_PRI,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3a_relative_pri,pcc_minus_baseline_peritumour_relative_PRI,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3b_enrichment,core_minus_control_abs_mean,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3b_enrichment,boundary_minus_control_abs_mean,NOMINAL_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
layer3b_enrichment,peritumour_minus_control_abs_mean,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3b_useful_dominance,fn_useful_dominance,NOMINAL_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
layer3b_useful_dominance,fp_useful_dominance,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3b_useful_dominance,error_region_useful_dominance,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3b_useful_dominance,boundary_fn_useful_dominance,NOMINAL_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
descriptive_useful_fraction,useful_correction_fraction,DESCRIPTIVE_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
