analysis,audit_source_file,protocol,endpoint,role,claim_status,source_file,family,classification,prohibited_overclaim
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1,main_threshold_dice,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv,,,
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1,main_threshold_iou,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv,,,
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1,fixed05_dice,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv,,,
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1,fixed05_iou,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv,,,
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1_1,main_threshold_dice,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv,,,
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1_1,main_threshold_iou,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv,,,
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1_1,fixed05_dice,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv,,,
layer1,outputs/pcc_internal_validity_patch_2026/04_layer1_statistical_reaudit/LAYER1_CLAIM_SUPPORT_MAP.csv,v1_1,fixed05_iou,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv,,,
layer3,,,pcc_minus_baseline_core_PRI,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3a_absolute_pri,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,pcc_minus_baseline_boundary_PRI,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3a_absolute_pri,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,pcc_minus_baseline_peritumour_PRI,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3a_absolute_pri,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,pcc_minus_baseline_core_relative_PRI,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3a_relative_pri,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,pcc_minus_baseline_boundary_relative_PRI,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3a_relative_pri,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,pcc_minus_baseline_peritumour_relative_PRI,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3a_relative_pri,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,core_minus_control_abs_mean,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3b_enrichment,NOT_SUPPORTED,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,boundary_minus_control_abs_mean,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3b_enrichment,NOMINAL_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,peritumour_minus_control_abs_mean,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3b_enrichment,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,fn_useful_dominance,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3b_useful_dominance,NOMINAL_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,fp_useful_dominance,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3b_useful_dominance,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,error_region_useful_dominance,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3b_useful_dominance,SUPPORTED_AFTER_HOLM,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,boundary_fn_useful_dominance,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,layer3b_useful_dominance,NOMINAL_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
layer3,,,useful_correction_fraction,,,outputs/pcc_internal_validity_patch_2026/05_layer3_statistical_reaudit/LAYER3_CLAIM_SUPPORT_MAP.csv,descriptive_useful_fraction,DESCRIPTIVE_ONLY,"causal, molecular, cellular, or clinical pathology mechanism"
