relative_path,size_bytes,sha256,scientific_role,exists,readable
outputs/pcc_rhuh_external_validation_2026/00_DATA_INVENTORY/RHUH_FILE_INVENTORY.csv,346380,a122cc95eb394c1b3e114fb43a3949f9eb5047cfd1fdb0441f8ce788e27cb8ef,phase0_or_phase0b_authority,true,true
outputs/pcc_rhuh_external_validation_2026/02_PAIR_AND_GEOMETRY/RHUH_LONGITUDINAL_GEOMETRY_AUDIT.csv,73998,9a4c3607bc1a5ee0283edd3c5e156753ac3666eb61db494fd966fb4b912a09a1,phase0_or_phase0b_authority,true,true
outputs/pcc_rhuh_external_validation_2026/05_RELEASE/PCC_RHUH_EXTERNAL_VALIDATION_PHASE0_STATUS.json,1777,341a266921d0198025f310d6cd4c73ab548cf1522231a1e42d7d4a9daf7e399d,phase0_or_phase0b_authority,true,true
outputs/pcc_rhuh_external_validation_phase0b_geometry_resolution_2026/03_COHORT_DECISION/RHUH_EXTERNAL_COHORT_AMENDMENT.csv,2930,dc2ae2656606ade243e9ef3fed6d24728472ae74f0b508d269e6b324410cec84,phase0_or_phase0b_authority,true,true
outputs/pcc_rhuh_external_validation_phase0b_geometry_resolution_2026/05_RELEASE/PCC_RHUH_EXTERNAL_VALIDATION_PHASE0B_STATUS.json,958,efe685b659ccaafdf4426c0c5fb65c2cb604923b6ad32603b60a85c3c2eec089,phase0_or_phase0b_authority,true,true
outputs/pcc_rhuh_external_validation_phase0b_geometry_resolution_2026/03_COHORT_DECISION/RHUH_EXTERNAL_GEOMETRY_POLICY.yaml,926,7fa9640fa9b5dc02c46d246fa2c64f2b9496de847e1bd3a65c5a4bb193f941ec,phase0_or_phase0b_authority,true,true
outputs/pcc_rhuh_external_validation_phase0b_geometry_resolution_2026/04_MASK_SEMANTICS/RHUH_EXTERNAL_MASK_SEMANTIC_LOCK.yaml,609,7e97d33d6dc8f72afffd6af6c96360a16c63f3c3ef2f9a496df2d758ed2db415,phase0_or_phase0b_authority,true,true
src/models/crosscase_future_predictor.py,2970,abce63dc26f6642438540ca80c8f80b992a0a39a39b88a17966dd65806915d08,frozen_predictor_authority,true,true
src/preprocessing/current_only_preprocessing.py,2078,bf48893deabbb400e6f412b9a53267e55ecb538a4f57daa682ed1350bc2b5624,frozen_predictor_authority,true,true
experiments/run_115_stage_a_p0.py,11929,15ca3edd60fb984d0b3bc35bdeaaaf70edf32c246fe006b44fd2d3f0f451a98c,frozen_predictor_authority,true,true
outputs/pcc_115_holdout_stage_a_p0_freeze_2026/00_STAGE_A_AUTHORITY/PROTOCOL_LOCK/LOCKED_115_PREDICTOR_CONFIG.yaml,327,e69bc6ca7554b90e68c2010d6156e2dc014920a493eb82a2202561d3a3bbfd03,frozen_predictor_authority,true,true
