relative_path,size_bytes,sha256,control_status
00_AUTHORITY/GENERATE_RHUH_EXTERNAL_PROTOCOL_LOCK.py,40481,2bf5331ee4f4d178707e5e2280bee1de190eb9681011cb749b89ea5f9a3908e9,CONTROLLED
00_AUTHORITY/RHUH_EXTERNAL_PROTOCOL_AUTHORITY_FILES.csv,2287,e9e4bc51a6e700c7e7e9dff04315fb2728bb09a2ef0a06116d149ce1ec9cbe35,CONTROLLED
00_AUTHORITY/RHUH_EXTERNAL_PROTOCOL_AUTHORITY_REPORT.md,392,eb9883dfe6642ed7e1d4e4921c1411e504d8830421027764f0c1b30cd2329867,CONTROLLED
01_COHORT_LOCK/EXCLUDED_RHUH_EXTERNAL_CASES.csv,541,fdb5bf2df06fd624287ed31442ad986f953080be600da869d2a67bc77e6a6933,CONTROLLED
01_COHORT_LOCK/LOCKED_RHUH_39_EXTERNAL_CONFIRMATORY_CASE_MANIFEST.csv,39049,12c019e9f7f2e4978a4c4a7fea603782fc6d152f0d1a1b710ecba073c77d40ae,CONTROLLED
01_COHORT_LOCK/LOCKED_RHUH_39_EXTERNAL_PATIENT_IDS.csv,441,c9f7127097926b1046e23ba2eb00c1916109b9306582ed24ce2719de2c2dcc81,CONTROLLED
01_COHORT_LOCK/RHUH_40_TO_39_COHORT_AUDIT.csv,1915,4cc1248e8584853197aaf71cada4b60c8bf1dfcc7a81a9cce67797b264f16fa2,CONTROLLED
02_GEOMETRY_LOCK/LOCKED_RHUH_39_GEOMETRY_MANIFEST.csv,11296,dd8d0e98e627505ec12592b5e8588bb8b03b9f86ed3361889028e41dce1514db,CONTROLLED
02_GEOMETRY_LOCK/LOCKED_RHUH_EXTERNAL_GEOMETRY_POLICY.md,790,c771f5c17033bcdb130f5ec030fa6bfc20b0b4f4e8100072ae74f64578e03c6f,CONTROLLED
02_GEOMETRY_LOCK/LOCKED_RHUH_EXTERNAL_GEOMETRY_POLICY.yaml,677,f5f0dae36d9bda18b9ad6ad2ad47397512ff11b7221f0b8ee3d6d6b7c5d469df,CONTROLLED
03_MASK_LOCK/LOCKED_RHUH_EXTERNAL_MASK_MAPPING.md,565,f1e202002ccaddaca29242ff5a535716507e3091a99432e5b30d6603cb73d609,CONTROLLED
03_MASK_LOCK/LOCKED_RHUH_EXTERNAL_MASK_MAPPING.yaml,566,e1f323a0cf41c911cd570b58d25b997b5b3bfe86f8f823a47defd919ebd3a010,CONTROLLED
04_PREDICTOR_LOCK/LOCKED_RHUH_FROZEN_PREDICTOR_MANIFEST.csv,2144,887ac57f43531ea8c8f7891dd7d1396b06333a17ee4e105d0fb1a0607a8d4689,CONTROLLED
04_PREDICTOR_LOCK/LOCKED_RHUH_FROZEN_PREDICTOR_POLICY.md,591,ead6bc08d30b7e66eda741c960c970a2bc20d2797b5a483d04bb5df479946c03,CONTROLLED
04_PREDICTOR_LOCK/LOCKED_RHUH_FROZEN_PREDICTOR_POLICY.yaml,1598,ea498184c406f5c55b863ea5b149442df58097377146ab6b7e0ac74c0092b38f,CONTROLLED
05_STAGE_A_LOCK/LOCKED_RHUH_EXTERNAL_STAGE_A_P0_PROTOCOL.md,622,6d02d4c631ca097c357a4543278f56732203cf026c2d83d76d89feabe5ee119e,CONTROLLED
05_STAGE_A_LOCK/LOCKED_RHUH_EXTERNAL_STAGE_A_P0_PROTOCOL.yaml,823,d7764457d2e7d06ff6fa9a75858a22889f6d8bf6df77edaecda87ea91e2fe959,CONTROLLED
05_STAGE_A_LOCK/RHUH_FUTURE_BLIND_ACCESS_POLICY.md,373,8fb5c7f442385b77e93bae6bd8dc178059ab7fc0ad8b1abc319b94f37acef354,CONTROLLED
06_STAGE_B_LOCK/LOCKED_RHUH_EXTERNAL_EVALUATION_POLICY.md,446,aa041178d320eb7357d2b5d42b592adb9ed52bc3fdbdd40cf539472f3b1a713b,CONTROLLED
06_STAGE_B_LOCK/LOCKED_RHUH_EXTERNAL_EVALUATION_POLICY.yaml,498,61977f660e9684d4178ec5f90f1b93bac7fdf312b602bea3e9690f0522a72e4a,CONTROLLED
06_STAGE_B_LOCK/LOCKED_RHUH_EXTERNAL_STAGE_B_PROTOCOL.md,562,ea102c6830e4b2b40b6a36f7bed1e9e07dfa8b8962b801d8c36857f7cd5eedd1,CONTROLLED
06_STAGE_B_LOCK/LOCKED_RHUH_EXTERNAL_STAGE_B_PROTOCOL.yaml,1159,b1febf4641b847db6f71e0bb34dc8c6bb502ebbd1f99bcef97701f174f0971d6,CONTROLLED
07_STATISTICS_LOCK/LOCKED_RHUH_EXTERNAL_STATISTICAL_ANALYSIS_PLAN.md,592,aa20ceebb0b95a1e1d7f6fe6f035d58e2a72871dbe91b94baa4dbc748a614c25,CONTROLLED
07_STATISTICS_LOCK/LOCKED_RHUH_EXTERNAL_STATISTICAL_ANALYSIS_PLAN.yaml,805,640028d96f16070a5a43df538c7fd8953635507cc933596cc760b3f559b06074,CONTROLLED
08_FAILURE_LOCK/LOCKED_RHUH_EXTERNAL_FAILURE_POLICY.md,502,4f19cf2c475c11794a29c747cb1c3c577d3e0570526b506566668f28d4855d59,CONTROLLED
08_FAILURE_LOCK/LOCKED_RHUH_EXTERNAL_FAILURE_POLICY.yaml,527,db3c14fe368eedd4afe04aee49776a3bef4570a092d92f845de85a127a3de883,CONTROLLED
09_INTERPRETATION_BOUNDARY/LOCKED_RHUH_EXTERNAL_SCIENTIFIC_INTERPRETATION_BOUNDARY.md,531,23287d2b3bdbde580b31da52b0d9ef289b0f764d70280a6101b8daf910b0f468,CONTROLLED
10_TESTS/FULL_TEST_STDERR.txt,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,CONTROLLED
10_TESTS/FULL_TEST_STDOUT.txt,99,8b53f7feb4513a9e1520bc9e57b09ea8199f6c5f1d9701c1142277462a675837,CONTROLLED
10_TESTS/PROTOCOL_LOCK_TEST_REPORT.md,349,62713a497c6a77aec1890a876b8cecce852c0c40c132d2649b89dface7475702,CONTROLLED
10_TESTS/TEST_EXIT_CODE.txt,2,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,CONTROLLED
10_TESTS/test_rhuh_external_protocol_lock.py,4044,5c8e7bf76a0aa138d983cdf247ea0581aaf273bf1459f1d31f0a34642d47fe84,CONTROLLED
11_RELEASE/PCC_RHUH_EXTERNAL_PROTOCOL_FINAL_REPORT.md,629,fc2e7ec1d6b9080995b2d88b9efb3c422209694398bf7e4f19f4dc2a16e579af,CONTROLLED
11_RELEASE/PCC_RHUH_EXTERNAL_PROTOCOL_HASH_LOCK.json,3848,b2c375755d41ecf74fc24edf0bcd8295b2ee7a1d6b668635073b323f901a54b5,CONTROLLED
11_RELEASE/PCC_RHUH_EXTERNAL_PROTOCOL_LOCK_2026.md,651,b84625d9dd1347a05dc0d727acc0fc197f6a3e14c5e2431b52f4088bad4ee7c5,CONTROLLED
11_RELEASE/PCC_RHUH_EXTERNAL_PROTOCOL_LOCK_2026.yaml,943,bf7ac21fba447701371bcd6dc1022d47c628683a067e111d0fe22bba16d0c40a,CONTROLLED
11_RELEASE/PCC_RHUH_EXTERNAL_PROTOCOL_STATUS.json,732,7cc993dd29f07ca302a4a25900a4ad12941b262a494afada51861420a2dbd391,CONTROLLED
11_RELEASE/RHUH_EXTERNAL_PRE_OUTCOME_PROTOCOL_COMMIT.txt,83,94a5c6f147f70966a1d2786fbf7340931b5224b5785b3633f1f5719c3c9c6e38,CONTROLLED
11_RELEASE/PCC_RHUH_EXTERNAL_PROTOCOL_FILE_MANIFEST.csv,,,EXCLUDED_SELF_REFERENCE
11_RELEASE/PCC_RHUH_EXTERNAL_PROTOCOL_PACKAGE_CONTENTS.txt,,,EXCLUDED_SELF_REFERENCE
